dataset,model,seed,insertion_loss_db_per_mode,accuracy,accuracy_drop_from_clean
circles,random_unitary,123,0.0,0.870876,0.000324
circles,random_unitary,123,0.5,0.860264,0.010936
circles,random_unitary,123,1.0,0.843904,0.027296
circles,random_unitary,123,1.5,0.826388,0.044812
circles,random_unitary,123,2.0,0.808797,0.062403
circles,random_unitary,123,3.0,0.768096,0.103104
circles,random_unitary,123,4.0,0.72188,0.14932
circles,random_unitary,123,5.0,0.673493,0.197707
circles,random_unitary,256,0.0,0.871281,-8.1e-05
circles,random_unitary,256,0.5,0.858554,0.012646
circles,random_unitary,256,1.0,0.845361,0.025839
circles,random_unitary,256,1.5,0.825995,0.045205
circles,random_unitary,256,2.0,0.808631,0.062569
circles,random_unitary,256,3.0,0.76619,0.10501
circles,random_unitary,256,4.0,0.723487,0.147713
circles,random_unitary,256,5.0,0.67321,0.19799
circles,random_unitary,512,0.0,0.868659,0.002541
circles,random_unitary,512,0.5,0.860241,0.010959
circles,random_unitary,512,1.0,0.845711,0.025489
circles,random_unitary,512,1.5,0.826939,0.044261
circles,random_unitary,512,2.0,0.809791,0.061409
circles,random_unitary,512,3.0,0.767637,0.103563
circles,random_unitary,512,4.0,0.719909,0.151291
circles,random_unitary,512,5.0,0.674368,0.196832
circles,random_unitary,1024,0.0,0.874242,-0.003042
circles,random_unitary,1024,0.5,0.86029,0.01091
circles,random_unitary,1024,1.0,0.845009,0.026191
circles,random_unitary,1024,1.5,0.826421,0.044779
circles,random_unitary,1024,2.0,0.808061,0.063139
circles,random_unitary,1024,3.0,0.765582,0.105618
circles,random_unitary,1024,4.0,0.720823,0.150377
circles,random_unitary,1024,5.0,0.675799,0.195401
circles,random_unitary,2024,0.0,0.869472,0.001728
circles,random_unitary,2024,0.5,0.859621,0.011579
circles,random_unitary,2024,1.0,0.844201,0.026999
circles,random_unitary,2024,1.5,0.829886,0.041314
circles,random_unitary,2024,2.0,0.806641,0.064559
circles,random_unitary,2024,3.0,0.768139,0.103061
circles,random_unitary,2024,4.0,0.720403,0.150797
circles,random_unitary,2024,5.0,0.678152,0.193048
circles,random_unitary,4096,0.0,0.870742,0.000458
circles,random_unitary,4096,0.5,0.857458,0.013742
circles,random_unitary,4096,1.0,0.845223,0.025977
circles,random_unitary,4096,1.5,0.827532,0.043668
circles,random_unitary,4096,2.0,0.809713,0.061487
circles,random_unitary,4096,3.0,0.767684,0.103516
circles,random_unitary,4096,4.0,0.72293,0.14827
circles,random_unitary,4096,5.0,0.674213,0.196987
circles,random_unitary,8192,0.0,0.873381,-0.002181
circles,random_unitary,8192,0.5,0.862836,0.008364
circles,random_unitary,8192,1.0,0.847479,0.023721
circles,random_unitary,8192,1.5,0.826758,0.044442
circles,random_unitary,8192,2.0,0.807726,0.063474
circles,random_unitary,8192,3.0,0.767302,0.103898
circles,random_unitary,8192,4.0,0.720303,0.150897
circles,random_unitary,8192,5.0,0.672237,0.198963
circles,mlp,42,0.0,0.954052,-0.000572
circles,mlp,42,0.5,0.947758,0.005722
circles,mlp,42,1.0,0.934834,0.018646
circles,mlp,42,1.5,0.923644,0.029836
circles,mlp,42,2.0,0.914288,0.039192
circles,mlp,42,3.0,0.889189,0.064291
circles,mlp,42,4.0,0.859392,0.094088
circles,mlp,42,5.0,0.832198,0.121282
circles,mlp,123,0.0,0.953629,-0.000149
circles,mlp,123,0.5,0.945652,0.007828
circles,mlp,123,1.0,0.935474,0.018006
circles,mlp,123,1.5,0.924843,0.028637
circles,mlp,123,2.0,0.913603,0.039877
circles,mlp,123,3.0,0.888011,0.065469
circles,mlp,123,4.0,0.863446,0.090034
circles,mlp,123,5.0,0.833129,0.120351
circles,mlp,256,0.0,0.953785,-0.000305
circles,mlp,256,0.5,0.945107,0.008373
circles,mlp,256,1.0,0.937251,0.016229
circles,mlp,256,1.5,0.924885,0.028595
circles,mlp,256,2.0,0.913128,0.040352
circles,mlp,256,3.0,0.887883,0.065597
circles,mlp,256,4.0,0.859544,0.093936
circles,mlp,256,5.0,0.832993,0.120487
circles,mlp,512,0.0,0.953949,-0.000469
circles,mlp,512,0.5,0.945,0.00848
circles,mlp,512,1.0,0.933937,0.019543
circles,mlp,512,1.5,0.924627,0.028853
circles,mlp,512,2.0,0.911797,0.041683
circles,mlp,512,3.0,0.88656,0.06692
circles,mlp,512,4.0,0.860363,0.093117
circles,mlp,512,5.0,0.835497,0.117983
circles,mlp,1024,0.0,0.955862,-0.002382
circles,mlp,1024,0.5,0.94232,0.01116
circles,mlp,1024,1.0,0.934933,0.018547
circles,mlp,1024,1.5,0.925339,0.028141
circles,mlp,1024,2.0,0.910871,0.042609
circles,mlp,1024,3.0,0.8887,0.06478
circles,mlp,1024,4.0,0.862666,0.090814
circles,mlp,1024,5.0,0.83401,0.11947
circles,mlp,2024,0.0,0.953842,-0.000362
circles,mlp,2024,0.5,0.946954,0.006526
circles,mlp,2024,1.0,0.932791,0.020689
circles,mlp,2024,1.5,0.923786,0.029694
circles,mlp,2024,2.0,0.910637,0.042843
circles,mlp,2024,3.0,0.887193,0.066287
circles,mlp,2024,4.0,0.861423,0.092057
circles,mlp,2024,5.0,0.835493,0.117987
circles,mlp,4096,0.0,0.95407,-0.00059
circles,mlp,4096,0.5,0.946317,0.007163
circles,mlp,4096,1.0,0.934829,0.018651
circles,mlp,4096,1.5,0.926516,0.026964
circles,mlp,4096,2.0,0.911992,0.041488
circles,mlp,4096,3.0,0.886361,0.067119
circles,mlp,4096,4.0,0.863553,0.089927
circles,mlp,4096,5.0,0.831913,0.121567
circles,mlp,8192,0.0,0.952418,0.001062
circles,mlp,8192,0.5,0.947499,0.005981
circles,mlp,8192,1.0,0.935216,0.018264
circles,mlp,8192,1.5,0.926192,0.027288
circles,mlp,8192,2.0,0.914882,0.038598
circles,mlp,8192,3.0,0.883657,0.069823
circles,mlp,8192,4.0,0.860778,0.092702
circles,mlp,8192,5.0,0.834428,0.119052
circles,cnn,42,0.0,0.972304,0.000536
circles,cnn,42,0.5,0.963814,0.009026
circles,cnn,42,1.0,0.954178,0.018662
circles,cnn,42,1.5,0.94805,0.02479
circles,cnn,42,2.0,0.936463,0.036377
circles,cnn,42,3.0,0.915692,0.057148
circles,cnn,42,4.0,0.895198,0.077642
circles,cnn,42,5.0,0.869851,0.102989
circles,cnn,123,0.0,0.973846,-0.001006
circles,cnn,123,0.5,0.967923,0.004917
circles,cnn,123,1.0,0.954222,0.018618
circles,cnn,123,1.5,0.950852,0.021988
circles,cnn,123,2.0,0.935433,0.037407
circles,cnn,123,3.0,0.917103,0.055737
circles,cnn,123,4.0,0.894354,0.078486
circles,cnn,123,5.0,0.870836,0.102004
circles,cnn,256,0.0,0.974459,-0.001619
circles,cnn,256,0.5,0.962009,0.010831
circles,cnn,256,1.0,0.957454,0.015386
circles,cnn,256,1.5,0.950083,0.022757
circles,cnn,256,2.0,0.937123,0.035717
circles,cnn,256,3.0,0.917428,0.055412
circles,cnn,256,4.0,0.893941,0.078899
circles,cnn,256,5.0,0.872455,0.100385
circles,cnn,512,0.0,0.969359,0.003481
circles,cnn,512,0.5,0.966962,0.005878
circles,cnn,512,1.0,0.955942,0.016898
circles,cnn,512,1.5,0.950174,0.022666
circles,cnn,512,2.0,0.9401,0.03274
circles,cnn,512,3.0,0.917061,0.055779
circles,cnn,512,4.0,0.896196,0.076644
circles,cnn,512,5.0,0.869727,0.103113
circles,cnn,1024,0.0,0.973433,-0.000593
circles,cnn,1024,0.5,0.966087,0.006753
circles,cnn,1024,1.0,0.956722,0.016118
circles,cnn,1024,1.5,0.946355,0.026485
circles,cnn,1024,2.0,0.935064,0.037776
circles,cnn,1024,3.0,0.916245,0.056595
circles,cnn,1024,4.0,0.893773,0.079067
circles,cnn,1024,5.0,0.870383,0.102457
circles,cnn,2024,0.0,0.971008,0.001832
circles,cnn,2024,0.5,0.963703,0.009137
circles,cnn,2024,1.0,0.954864,0.017976
circles,cnn,2024,1.5,0.944538,0.028302
circles,cnn,2024,2.0,0.936746,0.036094
circles,cnn,2024,3.0,0.916995,0.055845
circles,cnn,2024,4.0,0.89563,0.07721
circles,cnn,2024,5.0,0.870048,0.102792
circles,cnn,4096,0.0,0.972249,0.000591
circles,cnn,4096,0.5,0.967476,0.005364
circles,cnn,4096,1.0,0.955636,0.017204
circles,cnn,4096,1.5,0.947194,0.025646
circles,cnn,4096,2.0,0.936971,0.035869
circles,cnn,4096,3.0,0.9174,0.05544
circles,cnn,4096,4.0,0.892648,0.080192
circles,cnn,4096,5.0,0.87194,0.1009
circles,cnn,8192,0.0,0.972378,0.000462
circles,cnn,8192,0.5,0.966794,0.006046
circles,cnn,8192,1.0,0.956563,0.016277
circles,cnn,8192,1.5,0.948045,0.024795
circles,cnn,8192,2.0,0.936954,0.035886
circles,cnn,8192,3.0,0.916458,0.056382
circles,cnn,8192,4.0,0.894852,0.077988
circles,cnn,8192,5.0,0.870445,0.102395
mnist,proposed,42,0.0,0.986355,0.000645
mnist,proposed,42,0.5,0.983562,0.003438
mnist,proposed,42,1.0,0.981462,0.005538
mnist,proposed,42,1.5,0.975121,0.011879
mnist,proposed,42,2.0,0.966203,0.020797
mnist,proposed,42,3.0,0.955803,0.031197
mnist,proposed,42,4.0,0.948115,0.038885
mnist,proposed,42,5.0,0.934748,0.052252
mnist,proposed,123,0.0,0.987701,-0.000701
mnist,proposed,123,0.5,0.983304,0.003696
mnist,proposed,123,1.0,0.97783,0.00917
mnist,proposed,123,1.5,0.973343,0.013657
mnist,proposed,123,2.0,0.967583,0.019417
mnist,proposed,123,3.0,0.953614,0.033386
mnist,proposed,123,4.0,0.944222,0.042778
mnist,proposed,123,5.0,0.933293,0.053707
mnist,proposed,256,0.0,0.98705,-5e-05
mnist,proposed,256,0.5,0.984109,0.002891
mnist,proposed,256,1.0,0.977843,0.009157
mnist,proposed,256,1.5,0.970789,0.016211
mnist,proposed,256,2.0,0.965463,0.021537
mnist,proposed,256,3.0,0.956723,0.030277
mnist,proposed,256,4.0,0.946193,0.040807
mnist,proposed,256,5.0,0.933149,0.053851
mnist,proposed,512,0.0,0.985183,0.001817
mnist,proposed,512,0.5,0.982095,0.004905
mnist,proposed,512,1.0,0.977808,0.009192
mnist,proposed,512,1.5,0.972171,0.014829
mnist,proposed,512,2.0,0.967611,0.019389
mnist,proposed,512,3.0,0.959148,0.027852
mnist,proposed,512,4.0,0.945016,0.041984
mnist,proposed,512,5.0,0.935706,0.051294
mnist,proposed,1024,0.0,0.98593,0.00107
mnist,proposed,1024,0.5,0.9804,0.0066
mnist,proposed,1024,1.0,0.977583,0.009417
mnist,proposed,1024,1.5,0.97304,0.01396
mnist,proposed,1024,2.0,0.966426,0.020574
mnist,proposed,1024,3.0,0.957521,0.029479
mnist,proposed,1024,4.0,0.943634,0.043366
mnist,proposed,1024,5.0,0.936279,0.050721
mnist,proposed,2024,0.0,0.98714,-0.00014
mnist,proposed,2024,0.5,0.983578,0.003422
mnist,proposed,2024,1.0,0.97914,0.00786
mnist,proposed,2024,1.5,0.972674,0.014326
mnist,proposed,2024,2.0,0.966208,0.020792
mnist,proposed,2024,3.0,0.957202,0.029798
mnist,proposed,2024,4.0,0.944172,0.042828
mnist,proposed,2024,5.0,0.932883,0.054117
mnist,proposed,4096,0.0,0.989293,-0.002293
mnist,proposed,4096,0.5,0.982488,0.004512
mnist,proposed,4096,1.0,0.975891,0.011109
mnist,proposed,4096,1.5,0.974784,0.012216
mnist,proposed,4096,2.0,0.968035,0.018965
mnist,proposed,4096,3.0,0.954297,0.032703
mnist,proposed,4096,4.0,0.944326,0.042674
mnist,proposed,4096,5.0,0.934425,0.052575
mnist,proposed,8192,0.0,0.988309,-0.001309
mnist,proposed,8192,0.5,0.983296,0.003704
mnist,proposed,8192,1.0,0.978979,0.008021
mnist,proposed,8192,1.5,0.97178,0.01522
mnist,proposed,8192,2.0,0.970684,0.016316
mnist,proposed,8192,3.0,0.956507,0.030493
mnist,proposed,8192,4.0,0.945477,0.041523
mnist,proposed,8192,5.0,0.932747,0.054253
mnist,fixed_phase,42,0.0,0.939234,0.00039
mnist,fixed_phase,42,0.5,0.931228,0.008396
mnist,fixed_phase,42,1.0,0.920211,0.019413
mnist,fixed_phase,42,1.5,0.906774,0.03285
mnist,fixed_phase,42,2.0,0.896474,0.04315
mnist,fixed_phase,42,3.0,0.86275,0.076874
mnist,fixed_phase,42,4.0,0.834321,0.105303
mnist,fixed_phase,42,5.0,0.799475,0.140149
mnist,fixed_phase,123,0.0,0.935643,0.003981
mnist,fixed_phase,123,0.5,0.929978,0.009646
mnist,fixed_phase,123,1.0,0.921267,0.018357
mnist,fixed_phase,123,1.5,0.906545,0.033079
mnist,fixed_phase,123,2.0,0.893092,0.046532
mnist,fixed_phase,123,3.0,0.866307,0.073317
mnist,fixed_phase,123,4.0,0.83319,0.106434
mnist,fixed_phase,123,5.0,0.803495,0.136129
mnist,fixed_phase,256,0.0,0.939914,-0.00029
mnist,fixed_phase,256,0.5,0.931157,0.008467
mnist,fixed_phase,256,1.0,0.918853,0.020771
mnist,fixed_phase,256,1.5,0.905936,0.033688
mnist,fixed_phase,256,2.0,0.895369,0.044255
mnist,fixed_phase,256,3.0,0.865887,0.073737
mnist,fixed_phase,256,4.0,0.831995,0.107629
mnist,fixed_phase,256,5.0,0.801365,0.138259
mnist,fixed_phase,512,0.0,0.938764,0.00086
mnist,fixed_phase,512,0.5,0.932075,0.007549
mnist,fixed_phase,512,1.0,0.918884,0.02074
mnist,fixed_phase,512,1.5,0.909511,0.030113
mnist,fixed_phase,512,2.0,0.894476,0.045148
mnist,fixed_phase,512,3.0,0.865995,0.073629
mnist,fixed_phase,512,4.0,0.835984,0.10364
mnist,fixed_phase,512,5.0,0.804538,0.135086
mnist,fixed_phase,1024,0.0,0.938026,0.001598
mnist,fixed_phase,1024,0.5,0.92891,0.010714
mnist,fixed_phase,1024,1.0,0.919752,0.019872
mnist,fixed_phase,1024,1.5,0.907497,0.032127
mnist,fixed_phase,1024,2.0,0.897211,0.042413
mnist,fixed_phase,1024,3.0,0.866152,0.073472
mnist,fixed_phase,1024,4.0,0.8372,0.102424
mnist,fixed_phase,1024,5.0,0.803337,0.136287
mnist,fixed_phase,2024,0.0,0.93675,0.002874
mnist,fixed_phase,2024,0.5,0.931737,0.007887
mnist,fixed_phase,2024,1.0,0.922409,0.017215
mnist,fixed_phase,2024,1.5,0.909924,0.0297
mnist,fixed_phase,2024,2.0,0.892805,0.046819
mnist,fixed_phase,2024,3.0,0.863759,0.075865
mnist,fixed_phase,2024,4.0,0.833953,0.105671
mnist,fixed_phase,2024,5.0,0.803668,0.135956
mnist,fixed_phase,4096,0.0,0.940477,-0.000853
mnist,fixed_phase,4096,0.5,0.931196,0.008428
mnist,fixed_phase,4096,1.0,0.916093,0.023531
mnist,fixed_phase,4096,1.5,0.907911,0.031713
mnist,fixed_phase,4096,2.0,0.892507,0.047117
mnist,fixed_phase,4096,3.0,0.866867,0.072757
mnist,fixed_phase,4096,4.0,0.834167,0.105457
mnist,fixed_phase,4096,5.0,0.801463,0.138161
mnist,fixed_phase,8192,0.0,0.939332,0.000292
mnist,fixed_phase,8192,0.5,0.932393,0.007231
mnist,fixed_phase,8192,1.0,0.917095,0.022529
mnist,fixed_phase,8192,1.5,0.909631,0.029993
mnist,fixed_phase,8192,2.0,0.892905,0.046719
mnist,fixed_phase,8192,3.0,0.866067,0.073557
mnist,fixed_phase,8192,4.0,0.835574,0.10405
mnist,fixed_phase,8192,5.0,0.803599,0.136025
mnist,fixed_amplitude,42,0.0,0.933194,0.001495
mnist,fixed_amplitude,42,0.5,0.923535,0.011154
mnist,fixed_amplitude,42,1.0,0.912045,0.022644
mnist,fixed_amplitude,42,1.5,0.901656,0.033033
mnist,fixed_amplitude,42,2.0,0.884209,0.05048
mnist,fixed_amplitude,42,3.0,0.856884,0.077805
mnist,fixed_amplitude,42,4.0,0.82151,0.113179
mnist,fixed_amplitude,42,5.0,0.78853,0.146159
mnist,fixed_amplitude,123,0.0,0.934188,0.000501
mnist,fixed_amplitude,123,0.5,0.924585,0.010104
mnist,fixed_amplitude,123,1.0,0.913544,0.021145
mnist,fixed_amplitude,123,1.5,0.898685,0.036004
mnist,fixed_amplitude,123,2.0,0.884606,0.050083
mnist,fixed_amplitude,123,3.0,0.855479,0.07921
mnist,fixed_amplitude,123,4.0,0.821824,0.112865
mnist,fixed_amplitude,123,5.0,0.78663,0.148059
mnist,fixed_amplitude,256,0.0,0.934797,-0.000108
mnist,fixed_amplitude,256,0.5,0.926562,0.008127
mnist,fixed_amplitude,256,1.0,0.912297,0.022392
mnist,fixed_amplitude,256,1.5,0.902196,0.032493
mnist,fixed_amplitude,256,2.0,0.886679,0.04801
mnist,fixed_amplitude,256,3.0,0.85878,0.075909
mnist,fixed_amplitude,256,4.0,0.823369,0.11132
mnist,fixed_amplitude,256,5.0,0.791294,0.143395
mnist,fixed_amplitude,512,0.0,0.937975,-0.003286
mnist,fixed_amplitude,512,0.5,0.92522,0.009469
mnist,fixed_amplitude,512,1.0,0.911057,0.023632
mnist,fixed_amplitude,512,1.5,0.898651,0.036038
mnist,fixed_amplitude,512,2.0,0.885294,0.049395
mnist,fixed_amplitude,512,3.0,0.853769,0.08092
