dataset,model,seed,adc_bits,accuracy
circles,fixed_amplitude,256,12,0.914069
circles,fixed_amplitude,256,16,0.914646
circles,fixed_amplitude,512,4,0.896047
circles,fixed_amplitude,512,6,0.906926
circles,fixed_amplitude,512,8,0.912852
circles,fixed_amplitude,512,10,0.912988
circles,fixed_amplitude,512,12,0.913996
circles,fixed_amplitude,512,16,0.91653
circles,fixed_amplitude,1024,4,0.896042
circles,fixed_amplitude,1024,6,0.905607
circles,fixed_amplitude,1024,8,0.913417
circles,fixed_amplitude,1024,10,0.913018
circles,fixed_amplitude,1024,12,0.914323
circles,fixed_amplitude,1024,16,0.916528
circles,fixed_amplitude,2024,4,0.895382
circles,fixed_amplitude,2024,6,0.904336
circles,fixed_amplitude,2024,8,0.91147
circles,fixed_amplitude,2024,10,0.913174
circles,fixed_amplitude,2024,12,0.914934
circles,fixed_amplitude,2024,16,0.915497
circles,fixed_amplitude,4096,4,0.896891
circles,fixed_amplitude,4096,6,0.906079
circles,fixed_amplitude,4096,8,0.911807
circles,fixed_amplitude,4096,10,0.914402
circles,fixed_amplitude,4096,12,0.91599
circles,fixed_amplitude,4096,16,0.916018
circles,fixed_amplitude,8192,4,0.895223
circles,fixed_amplitude,8192,6,0.90491
circles,fixed_amplitude,8192,8,0.91266
circles,fixed_amplitude,8192,10,0.912673
circles,fixed_amplitude,8192,12,0.91211
circles,fixed_amplitude,8192,16,0.913248
circles,random_unitary,42,4,0.851405
circles,random_unitary,42,6,0.860543
circles,random_unitary,42,8,0.867111
circles,random_unitary,42,10,0.866614
circles,random_unitary,42,12,0.868002
circles,random_unitary,42,16,0.868667
circles,random_unitary,123,4,0.850837
circles,random_unitary,123,6,0.859188
circles,random_unitary,123,8,0.870324
circles,random_unitary,123,10,0.867235
circles,random_unitary,123,12,0.868497
circles,random_unitary,123,16,0.870231
circles,random_unitary,256,4,0.85058
circles,random_unitary,256,6,0.859401
circles,random_unitary,256,8,0.866354
circles,random_unitary,256,10,0.867697
circles,random_unitary,256,12,0.868937
circles,random_unitary,256,16,0.869461
circles,random_unitary,512,4,0.849894
circles,random_unitary,512,6,0.861579
circles,random_unitary,512,8,0.86578
circles,random_unitary,512,10,0.868167
circles,random_unitary,512,12,0.869466
circles,random_unitary,512,16,0.870021
circles,random_unitary,1024,4,0.850828
circles,random_unitary,1024,6,0.859612
circles,random_unitary,1024,8,0.867392
circles,random_unitary,1024,10,0.868329
circles,random_unitary,1024,12,0.868394
circles,random_unitary,1024,16,0.869063
circles,random_unitary,2024,4,0.851702
circles,random_unitary,2024,6,0.858385
circles,random_unitary,2024,8,0.867848
circles,random_unitary,2024,10,0.867431
circles,random_unitary,2024,12,0.868843
circles,random_unitary,2024,16,0.867904
circles,random_unitary,4096,4,0.849301
circles,random_unitary,4096,6,0.86014
circles,random_unitary,4096,8,0.866595
circles,random_unitary,4096,10,0.867723
circles,random_unitary,4096,12,0.868996
circles,random_unitary,4096,16,0.869529
circles,random_unitary,8192,4,0.849815
circles,random_unitary,8192,6,0.860211
circles,random_unitary,8192,8,0.86634
circles,random_unitary,8192,10,0.867703
circles,random_unitary,8192,12,0.869311
circles,random_unitary,8192,16,0.869581
circles,mlp,42,4,0.93335
circles,mlp,42,6,0.942393
circles,mlp,42,8,0.949189
circles,mlp,42,10,0.948817
circles,mlp,42,12,0.952188
circles,mlp,42,16,0.951815
circles,mlp,123,4,0.933482
circles,mlp,123,6,0.942971
circles,mlp,123,8,0.950705
circles,mlp,123,10,0.949051
circles,mlp,123,12,0.949547
circles,mlp,123,16,0.951619
circles,mlp,256,4,0.933103
circles,mlp,256,6,0.941225
circles,mlp,256,8,0.949417
circles,mlp,256,10,0.950108
circles,mlp,256,12,0.949741
circles,mlp,256,16,0.952367
circles,mlp,512,4,0.932244
circles,mlp,512,6,0.941006
circles,mlp,512,8,0.947944
circles,mlp,512,10,0.94912
circles,mlp,512,12,0.949608
circles,mlp,512,16,0.952977
circles,mlp,1024,4,0.934231
circles,mlp,1024,6,0.943313
circles,mlp,1024,8,0.948622
circles,mlp,1024,10,0.950152
circles,mlp,1024,12,0.949981
circles,mlp,1024,16,0.950723
circles,mlp,2024,4,0.93278
circles,mlp,2024,6,0.940994
circles,mlp,2024,8,0.949344
circles,mlp,2024,10,0.9509
circles,mlp,2024,12,0.950626
circles,mlp,2024,16,0.951482
circles,mlp,4096,4,0.930368
circles,mlp,4096,6,0.942259
circles,mlp,4096,8,0.947947
circles,mlp,4096,10,0.950797
circles,mlp,4096,12,0.952225
circles,mlp,4096,16,0.950851
circles,mlp,8192,4,0.931037
circles,mlp,8192,6,0.942346
circles,mlp,8192,8,0.950325
circles,mlp,8192,10,0.950864
circles,mlp,8192,12,0.950064
circles,mlp,8192,16,0.951525
circles,cnn,42,4,0.950667
circles,cnn,42,6,0.961934
circles,cnn,42,8,0.97053
circles,cnn,42,10,0.968811
circles,cnn,42,12,0.970768
circles,cnn,42,16,0.971525
circles,cnn,123,4,0.952285
circles,cnn,123,6,0.962067
circles,cnn,123,8,0.968567
circles,cnn,123,10,0.970132
circles,cnn,123,12,0.969379
circles,cnn,123,16,0.96917
circles,cnn,256,4,0.952447
circles,cnn,256,6,0.960396
circles,cnn,256,8,0.966981
circles,cnn,256,10,0.970338
circles,cnn,256,12,0.970201
circles,cnn,256,16,0.971027
circles,cnn,512,4,0.953301
circles,cnn,512,6,0.961531
circles,cnn,512,8,0.968056
circles,cnn,512,10,0.969207
circles,cnn,512,12,0.970054
circles,cnn,512,16,0.969527
circles,cnn,1024,4,0.952091
circles,cnn,1024,6,0.961113
circles,cnn,1024,8,0.96884
circles,cnn,1024,10,0.969247
circles,cnn,1024,12,0.970633
circles,cnn,1024,16,0.972239
circles,cnn,2024,4,0.951512
circles,cnn,2024,6,0.961022
circles,cnn,2024,8,0.968647
circles,cnn,2024,10,0.969118
circles,cnn,2024,12,0.972252
circles,cnn,2024,16,0.969977
circles,cnn,4096,4,0.951572
circles,cnn,4096,6,0.960557
circles,cnn,4096,8,0.970335
circles,cnn,4096,10,0.972179
circles,cnn,4096,12,0.970819
circles,cnn,4096,16,0.972129
circles,cnn,8192,4,0.952913
circles,cnn,8192,6,0.962237
circles,cnn,8192,8,0.969424
circles,cnn,8192,10,0.969286
circles,cnn,8192,12,0.970675
circles,cnn,8192,16,0.971359
mnist,proposed,42,4,0.970572
mnist,proposed,42,6,0.979873
mnist,proposed,42,8,0.982615
mnist,proposed,42,10,0.982872
mnist,proposed,42,12,0.987043
mnist,proposed,42,16,0.985842
mnist,proposed,123,4,0.969896
mnist,proposed,123,6,0.977901
mnist,proposed,123,8,0.983651
mnist,proposed,123,10,0.984536
mnist,proposed,123,12,0.985678
mnist,proposed,123,16,0.984222
mnist,proposed,256,4,0.969837
mnist,proposed,256,6,0.977196
mnist,proposed,256,8,0.983326
mnist,proposed,256,10,0.983253
mnist,proposed,256,12,0.984938
mnist,proposed,256,16,0.986502
mnist,proposed,512,4,0.970205
mnist,proposed,512,6,0.976708
mnist,proposed,512,8,0.985385
mnist,proposed,512,10,0.984532
mnist,proposed,512,12,0.985622
mnist,proposed,512,16,0.985534
mnist,proposed,1024,4,0.970607
mnist,proposed,1024,6,0.977425
mnist,proposed,1024,8,0.984932
mnist,proposed,1024,10,0.985068
mnist,proposed,1024,12,0.986933
mnist,proposed,1024,16,0.984652
mnist,proposed,2024,4,0.969649
mnist,proposed,2024,6,0.975642
mnist,proposed,2024,8,0.984337
mnist,proposed,2024,10,0.983963
mnist,proposed,2024,12,0.985463
mnist,proposed,2024,16,0.986242
mnist,proposed,4096,4,0.970668
mnist,proposed,4096,6,0.977718
mnist,proposed,4096,8,0.982832
mnist,proposed,4096,10,0.985903
mnist,proposed,4096,12,0.986972
mnist,proposed,4096,16,0.987244
mnist,proposed,8192,4,0.97131
mnist,proposed,8192,6,0.97703
mnist,proposed,8192,8,0.984415
mnist,proposed,8192,10,0.982782
mnist,proposed,8192,12,0.984337
mnist,proposed,8192,16,0.985366
mnist,fixed_phase,42,4,0.91891
mnist,fixed_phase,42,6,0.928005
mnist,fixed_phase,42,8,0.935337
mnist,fixed_phase,42,10,0.937055
mnist,fixed_phase,42,12,0.938881
mnist,fixed_phase,42,16,0.938134
mnist,fixed_phase,123,4,0.919313
mnist,fixed_phase,123,6,0.928597
mnist,fixed_phase,123,8,0.934269
mnist,fixed_phase,123,10,0.936553
mnist,fixed_phase,123,12,0.935767
mnist,fixed_phase,123,16,0.936712
mnist,fixed_phase,256,4,0.917609
mnist,fixed_phase,256,6,0.928647
mnist,fixed_phase,256,8,0.934727
mnist,fixed_phase,256,10,0.937042
mnist,fixed_phase,256,12,0.937242
mnist,fixed_phase,256,16,0.93742
mnist,fixed_phase,512,4,0.917518
mnist,fixed_phase,512,6,0.928276
mnist,fixed_phase,512,8,0.935613
mnist,fixed_phase,512,10,0.933995
mnist,fixed_phase,512,12,0.93727
mnist,fixed_phase,512,16,0.937799
mnist,fixed_phase,1024,4,0.918598
mnist,fixed_phase,1024,6,0.925838
mnist,fixed_phase,1024,8,0.934305
mnist,fixed_phase,1024,10,0.936131
mnist,fixed_phase,1024,12,0.936845
mnist,fixed_phase,1024,16,0.936916
mnist,fixed_phase,2024,4,0.918893
mnist,fixed_phase,2024,6,0.928944
mnist,fixed_phase,2024,8,0.936605
mnist,fixed_phase,2024,10,0.93702
mnist,fixed_phase,2024,12,0.938136
mnist,fixed_phase,2024,16,0.937498
mnist,fixed_phase,4096,4,0.919467
mnist,fixed_phase,4096,6,0.929286
mnist,fixed_phase,4096,8,0.935397
mnist,fixed_phase,4096,10,0.936452
mnist,fixed_phase,4096,12,0.936261
mnist,fixed_phase,4096,16,0.936174
mnist,fixed_phase,8192,4,0.919055
mnist,fixed_phase,8192,6,0.926993
mnist,fixed_phase,8192,8,0.935841
mnist,fixed_phase,8192,10,0.936044
mnist,fixed_phase,8192,12,0.936936
mnist,fixed_phase,8192,16,0.936913
mnist,fixed_amplitude,42,4,0.912974
mnist,fixed_amplitude,42,6,0.923726
mnist,fixed_amplitude,42,8,0.929237
mnist,fixed_amplitude,42,10,0.930546
mnist,fixed_amplitude,42,12,0.930556
mnist,fixed_amplitude,42,16,0.935342
mnist,fixed_amplitude,123,4,0.913749
mnist,fixed_amplitude,123,6,0.922839
mnist,fixed_amplitude,123,8,0.930105
mnist,fixed_amplitude,123,10,0.933811
mnist,fixed_amplitude,123,12,0.932487
mnist,fixed_amplitude,123,16,0.932868
mnist,fixed_amplitude,256,4,0.915386
mnist,fixed_amplitude,256,6,0.921605
mnist,fixed_amplitude,256,8,0.929547
mnist,fixed_amplitude,256,10,0.931844
mnist,fixed_amplitude,256,12,0.932502
mnist,fixed_amplitude,256,16,0.933429
mnist,fixed_amplitude,512,4,0.914863
mnist,fixed_amplitude,512,6,0.923087
mnist,fixed_amplitude,512,8,0.931932
mnist,fixed_amplitude,512,10,0.931592
mnist,fixed_amplitude,512,12,0.931954
mnist,fixed_amplitude,512,16,0.932876
mnist,fixed_amplitude,1024,4,0.9145
mnist,fixed_amplitude,1024,6,0.922661
mnist,fixed_amplitude,1024,8,0.929367
mnist,fixed_amplitude,1024,10,0.931774
mnist,fixed_amplitude,1024,12,0.932137
mnist,fixed_amplitude,1024,16,0.933446
mnist,fixed_amplitude,2024,4,0.915535
mnist,fixed_amplitude,2024,6,0.923138
mnist,fixed_amplitude,2024,8,0.930893
mnist,fixed_amplitude,2024,10,0.931312
mnist,fixed_amplitude,2024,12,0.930486
mnist,fixed_amplitude,2024,16,0.933003
mnist,fixed_amplitude,4096,4,0.913828
mnist,fixed_amplitude,4096,6,0.922832
mnist,fixed_amplitude,4096,8,0.928769
mnist,fixed_amplitude,4096,10,0.930935
mnist,fixed_amplitude,4096,12,0.933473
mnist,fixed_amplitude,4096,16,0.932774
mnist,fixed_amplitude,8192,4,0.915458
mnist,fixed_amplitude,8192,6,0.924163
mnist,fixed_amplitude,8192,8,0.932579
mnist,fixed_amplitude,8192,10,0.930403
mnist,fixed_amplitude,8192,12,0.931454
mnist,fixed_amplitude,8192,16,0.930287
mnist,random_unitary,42,4,0.866119
mnist,random_unitary,42,6,0.876295
mnist,random_unitary,42,8,0.88246
mnist,random_unitary,42,10,0.884231
mnist,random_unitary,42,12,0.886751
mnist,random_unitary,42,16,0.88434
mnist,random_unitary,123,4,0.867967
mnist,random_unitary,123,6,0.877518
mnist,random_unitary,123,8,0.882506
mnist,random_unitary,123,10,0.883869
mnist,random_unitary,123,12,0.884917
mnist,random_unitary,123,16,0.888316
mnist,random_unitary,256,4,0.868594
mnist,random_unitary,256,6,0.875437
mnist,random_unitary,256,8,0.882654
mnist,random_unitary,256,10,0.884897
mnist,random_unitary,256,12,0.886938
mnist,random_unitary,256,16,0.885069
mnist,random_unitary,512,4,0.868868
mnist,random_unitary,512,6,0.877163
mnist,random_unitary,512,8,0.883631
mnist,random_unitary,512,10,0.884103
mnist,random_unitary,512,12,0.885379
mnist,random_unitary,512,16,0.886164
mnist,random_unitary,1024,4,0.866712
mnist,random_unitary,1024,6,0.876612
mnist,random_unitary,1024,8,0.884556
mnist,random_unitary,1024,10,0.885127
mnist,random_unitary,1024,12,0.884225
mnist,random_unitary,1024,16,0.886343
mnist,random_unitary,2024,4,0.865791
mnist,random_unitary,2024,6,0.877143
mnist,random_unitary,2024,8,0.883156
mnist,random_unitary,2024,10,0.884085
mnist,random_unitary,2024,12,0.886291
mnist,random_unitary,2024,16,0.886653
mnist,random_unitary,4096,4,0.867783
mnist,random_unitary,4096,6,0.876618
mnist,random_unitary,4096,8,0.88228
mnist,random_unitary,4096,10,0.886239
mnist,random_unitary,4096,12,0.886839
mnist,random_unitary,4096,16,0.886273
mnist,random_unitary,8192,4,0.867869
mnist,random_unitary,8192,6,0.876305
mnist,random_unitary,8192,8,0.882688
mnist,random_unitary,8192,10,0.886176
mnist,random_unitary,8192,12,0.887467
mnist,random_unitary,8192,16,0.886177
mnist,mlp,42,4,0.951736
mnist,mlp,42,6,0.960897
mnist,mlp,42,8,0.967219
mnist,mlp,42,10,0.969763
mnist,mlp,42,12,0.970602
mnist,mlp,42,16,0.969059
mnist,mlp,123,4,0.951365
mnist,mlp,123,6,0.959129
mnist,mlp,123,8,0.967693
mnist,mlp,123,10,0.968775
mnist,mlp,123,12,0.969667
mnist,mlp,123,16,0.970614
mnist,mlp,256,4,0.950397
mnist,mlp,256,6,0.960797
mnist,mlp,256,8,0.967437
mnist,mlp,256,10,0.968703
mnist,mlp,256,12,0.968871
mnist,mlp,256,16,0.971063
mnist,mlp,512,4,0.951968
mnist,mlp,512,6,0.959934
mnist,mlp,512,8,0.968369
mnist,mlp,512,10,0.967175
mnist,mlp,512,12,0.968597
mnist,mlp,512,16,0.969727
mnist,mlp,1024,4,0.952928
mnist,mlp,1024,6,0.960751
mnist,mlp,1024,8,0.967427
mnist,mlp,1024,10,0.968115
mnist,mlp,1024,12,0.970549
mnist,mlp,1024,16,0.971758
mnist,mlp,2024,4,0.951608
mnist,mlp,2024,6,0.961237
mnist,mlp,2024,8,0.967048
mnist,mlp,2024,10,0.966938
mnist,mlp,2024,12,0.969998
mnist,mlp,2024,16,0.969697
mnist,mlp,4096,4,0.948504
mnist,mlp,4096,6,0.96144
mnist,mlp,4096,8,0.967074
mnist,mlp,4096,10,0.970518
mnist,mlp,4096,12,0.970717
mnist,mlp,4096,16,0.969157
mnist,mlp,8192,4,0.95155
mnist,mlp,8192,6,0.959368
mnist,mlp,8192,8,0.968819
mnist,mlp,8192,10,0.971278
mnist,mlp,8192,12,0.968723
mnist,mlp,8192,16,0.970365
mnist,cnn,42,4,0.972005
mnist,cnn,42,6,0.980314
mnist,cnn,42,8,0.986755
mnist,cnn,42,10,0.989275
mnist,cnn,42,12,0.989829
mnist,cnn,42,16,0.99024
mnist,cnn,123,4,0.972431
mnist,cnn,123,6,0.978577
mnist,cnn,123,8,0.988132
mnist,cnn,123,10,0.986955
mnist,cnn,123,12,0.990216
mnist,cnn,123,16,0.99068
mnist,cnn,256,4,0.972655
mnist,cnn,256,6,0.980032
mnist,cnn,256,8,0.985632
mnist,cnn,256,10,0.989664
mnist,cnn,256,12,0.986967
mnist,cnn,256,16,0.990494
mnist,cnn,512,4,0.970463
mnist,cnn,512,6,0.980638
mnist,cnn,512,8,0.988769
mnist,cnn,512,10,0.987238
mnist,cnn,512,12,0.988401
mnist,cnn,512,16,0.989736
mnist,cnn,1024,4,0.971872
mnist,cnn,1024,6,0.97979
mnist,cnn,1024,8,0.989346
mnist,cnn,1024,10,0.987596
mnist,cnn,1024,12,0.990624
mnist,cnn,1024,16,0.988467
mnist,cnn,2024,4,0.971235
mnist,cnn,2024,6,0.981011
mnist,cnn,2024,8,0.988445
mnist,cnn,2024,10,0.989764
mnist,cnn,2024,12,0.990422
mnist,cnn,2024,16,0.990927
mnist,cnn,4096,4,0.973917
mnist,cnn,4096,6,0.979387
mnist,cnn,4096,8,0.987676
mnist,cnn,4096,10,0.98933
mnist,cnn,4096,12,0.989174
mnist,cnn,4096,16,0.989763
mnist,cnn,8192,4,0.970539
mnist,cnn,8192,6,0.980676
mnist,cnn,8192,8,0.987135
mnist,cnn,8192,10,0.987372
mnist,cnn,8192,12,0.990571
mnist,cnn,8192,16,0.989998
fashion_mnist,proposed,42,4,0.897482
fashion_mnist,proposed,42,6,0.904937
fashion_mnist,proposed,42,8,0.908397
fashion_mnist,proposed,42,10,0.910308
fashion_mnist,proposed,42,12,0.912635
fashion_mnist,proposed,42,16,0.912104
fashion_mnist,proposed,123,4,0.897586
fashion_mnist,proposed,123,6,0.903441
fashion_mnist,proposed,123,8,0.910081
fashion_mnist,proposed,123,10,0.911467
fashion_mnist,proposed,123,12,0.910772
fashion_mnist,proposed,123,16,0.913606
fashion_mnist,proposed,256,4,0.898529
fashion_mnist,proposed,256,6,0.90415
fashion_mnist,proposed,256,8,0.910447
fashion_mnist,proposed,256,10,0.912026
fashion_mnist,proposed,256,12,0.911636
fashion_mnist,proposed,256,16,0.912671
fashion_mnist,proposed,512,4,0.897467
fashion_mnist,proposed,512,6,0.906382
fashion_mnist,proposed,512,8,0.910001
fashion_mnist,proposed,512,10,0.911575
fashion_mnist,proposed,512,12,0.913147
fashion_mnist,proposed,512,16,0.911837
fashion_mnist,proposed,1024,4,0.897545
fashion_mnist,proposed,1024,6,0.904085
fashion_mnist,proposed,1024,8,0.911102
fashion_mnist,proposed,1024,10,0.911919
fashion_mnist,proposed,1024,12,0.912134
fashion_mnist,proposed,1024,16,0.911865
fashion_mnist,proposed,2024,4,0.898107
fashion_mnist,proposed,2024,6,0.903731
fashion_mnist,proposed,2024,8,0.909503
fashion_mnist,proposed,2024,10,0.912851
fashion_mnist,proposed,2024,12,0.913467
fashion_mnist,proposed,2024,16,0.913585
fashion_mnist,proposed,4096,4,0.897091
fashion_mnist,proposed,4096,6,0.903632
fashion_mnist,proposed,4096,8,0.909341
fashion_mnist,proposed,4096,10,0.912304
fashion_mnist,proposed,4096,12,0.913098
fashion_mnist,proposed,4096,16,0.91073
fashion_mnist,proposed,8192,4,0.896574
fashion_mnist,proposed,8192,6,0.902905
fashion_mnist,proposed,8192,8,0.908853
fashion_mnist,proposed,8192,10,0.909643
fashion_mnist,proposed,8192,12,0.913378
fashion_mnist,proposed,8192,16,0.911715
fashion_mnist,fixed_phase,42,4,0.849119
fashion_mnist,fixed_phase,42,6,0.860471
fashion_mnist,fixed_phase,42,8,0.86559
fashion_mnist,fixed_phase,42,10,0.866419
fashion_mnist,fixed_phase,42,12,0.868026
fashion_mnist,fixed_phase,42,16,0.869816
fashion_mnist,fixed_phase,123,4,0.848247
fashion_mnist,fixed_phase,123,6,0.856677
fashion_mnist,fixed_phase,123,8,0.866326
fashion_mnist,fixed_phase,123,10,0.865897
fashion_mnist,fixed_phase,123,12,0.866733
fashion_mnist,fixed_phase,123,16,0.86895
fashion_mnist,fixed_phase,256,4,0.851786
fashion_mnist,fixed_phase,256,6,0.85815
fashion_mnist,fixed_phase,256,8,0.86692
fashion_mnist,fixed_phase,256,10,0.867374
fashion_mnist,fixed_phase,256,12,0.867629
fashion_mnist,fixed_phase,256,16,0.867868
fashion_mnist,fixed_phase,512,4,0.849447
fashion_mnist,fixed_phase,512,6,0.857629
fashion_mnist,fixed_phase,512,8,0.866271
fashion_mnist,fixed_phase,512,10,0.86569
fashion_mnist,fixed_phase,512,12,0.866501
fashion_mnist,fixed_phase,512,16,0.867511
fashion_mnist,fixed_phase,1024,4,0.849531
fashion_mnist,fixed_phase,1024,6,0.858092
fashion_mnist,fixed_phase,1024,8,0.865302
fashion_mnist,fixed_phase,1024,10,0.864143
fashion_mnist,fixed_phase,1024,12,0.868069
fashion_mnist,fixed_phase,1024,16,0.868858
fashion_mnist,fixed_phase,2024,4,0.850776
fashion_mnist,fixed_phase,2024,6,0.856759
fashion_mnist,fixed_phase,2024,8,0.867354
fashion_mnist,fixed_phase,2024,10,0.867851
fashion_mnist,fixed_phase,2024,12,0.868253
fashion_mnist,fixed_phase,2024,16,0.867601
fashion_mnist,fixed_phase,4096,4,0.848393
fashion_mnist,fixed_phase,4096,6,0.857456
fashion_mnist,fixed_phase,4096,8,0.86698
fashion_mnist,fixed_phase,4096,10,0.86694
fashion_mnist,fixed_phase,4096,12,0.868292
fashion_mnist,fixed_phase,4096,16,0.868823
fashion_mnist,fixed_phase,8192,4,0.850493
fashion_mnist,fixed_phase,8192,6,0.858239
fashion_mnist,fixed_phase,8192,8,0.865896
fashion_mnist,fixed_phase,8192,10,0.868527
fashion_mnist,fixed_phase,8192,12,0.867681
fashion_mnist,fixed_phase,8192,16,0.869111
fashion_mnist,fixed_amplitude,42,4,0.845337
fashion_mnist,fixed_amplitude,42,6,0.853593
fashion_mnist,fixed_amplitude,42,8,0.860949
fashion_mnist,fixed_amplitude,42,10,0.862411
fashion_mnist,fixed_amplitude,42,12,0.864583
fashion_mnist,fixed_amplitude,42,16,0.863736
fashion_mnist,fixed_amplitude,123,4,0.843803
fashion_mnist,fixed_amplitude,123,6,0.855195
fashion_mnist,fixed_amplitude,123,8,0.86105
fashion_mnist,fixed_amplitude,123,10,0.863041
fashion_mnist,fixed_amplitude,123,12,0.862743
fashion_mnist,fixed_amplitude,123,16,0.863172
fashion_mnist,fixed_amplitude,256,4,0.845118
fashion_mnist,fixed_amplitude,256,6,0.853276
fashion_mnist,fixed_amplitude,256,8,0.861727
fashion_mnist,fixed_amplitude,256,10,0.862711
fashion_mnist,fixed_amplitude,256,12,0.863699
fashion_mnist,fixed_amplitude,256,16,0.863943
fashion_mnist,fixed_amplitude,512,4,0.845346
fashion_mnist,fixed_amplitude,512,6,0.85269
fashion_mnist,fixed_amplitude,512,8,0.861051
fashion_mnist,fixed_amplitude,512,10,0.862997
fashion_mnist,fixed_amplitude,512,12,0.864403
fashion_mnist,fixed_amplitude,512,16,0.864186
fashion_mnist,fixed_amplitude,1024,4,0.844606
fashion_mnist,fixed_amplitude,1024,6,0.85327
fashion_mnist,fixed_amplitude,1024,8,0.860993
fashion_mnist,fixed_amplitude,1024,10,0.861965
fashion_mnist,fixed_amplitude,1024,12,0.862328
fashion_mnist,fixed_amplitude,1024,16,0.864577
fashion_mnist,fixed_amplitude,2024,4,0.845104
fashion_mnist,fixed_amplitude,2024,6,0.852878
fashion_mnist,fixed_amplitude,2024,8,0.862286
fashion_mnist,fixed_amplitude,2024,10,0.864418
fashion_mnist,fixed_amplitude,2024,12,0.863099
fashion_mnist,fixed_amplitude,2024,16,0.864758
fashion_mnist,fixed_amplitude,4096,4,0.844145
