dataset,model,seed,sigma_phi_rad,accuracy,accuracy_drop_from_clean
circles,proposed,4096,0.03,0.959841,0.008159
circles,proposed,4096,0.04,0.961128,0.006872
circles,proposed,4096,0.05,0.957365,0.010635
circles,proposed,4096,0.06,0.953569,0.014431
circles,proposed,4096,0.08,0.94882,0.01918
circles,proposed,4096,0.1,0.944352,0.023648
circles,proposed,4096,0.12,0.938876,0.029124
circles,proposed,4096,0.15,0.928089,0.039911
circles,proposed,8192,0.0,0.968968,-0.000968
circles,proposed,8192,0.01,0.966318,0.001682
circles,proposed,8192,0.02,0.966902,0.001098
circles,proposed,8192,0.03,0.961978,0.006022
circles,proposed,8192,0.04,0.960045,0.007955
circles,proposed,8192,0.05,0.957047,0.010953
circles,proposed,8192,0.06,0.953246,0.014754
circles,proposed,8192,0.08,0.94901,0.01899
circles,proposed,8192,0.1,0.9457,0.0223
circles,proposed,8192,0.12,0.937414,0.030586
circles,proposed,8192,0.15,0.929671,0.038329
circles,fixed_phase,42,0.0,0.921036,0.0005
circles,fixed_phase,42,0.01,0.918493,0.003043
circles,fixed_phase,42,0.02,0.912114,0.009422
circles,fixed_phase,42,0.03,0.909197,0.012339
circles,fixed_phase,42,0.04,0.903512,0.018024
circles,fixed_phase,42,0.05,0.897456,0.02408
circles,fixed_phase,42,0.06,0.89287,0.028666
circles,fixed_phase,42,0.08,0.879311,0.042225
circles,fixed_phase,42,0.1,0.866106,0.05543
circles,fixed_phase,42,0.12,0.844792,0.076744
circles,fixed_phase,42,0.15,0.81979,0.101746
circles,fixed_phase,123,0.0,0.91915,0.002386
circles,fixed_phase,123,0.01,0.918769,0.002767
circles,fixed_phase,123,0.02,0.91608,0.005456
circles,fixed_phase,123,0.03,0.909698,0.011838
circles,fixed_phase,123,0.04,0.904604,0.016932
circles,fixed_phase,123,0.05,0.898563,0.022973
circles,fixed_phase,123,0.06,0.893455,0.028081
circles,fixed_phase,123,0.08,0.881748,0.039788
circles,fixed_phase,123,0.1,0.86392,0.057616
circles,fixed_phase,123,0.12,0.847015,0.074521
circles,fixed_phase,123,0.15,0.820047,0.101489
circles,fixed_phase,256,0.0,0.922363,-0.000827
circles,fixed_phase,256,0.01,0.919436,0.0021
circles,fixed_phase,256,0.02,0.91339,0.008146
circles,fixed_phase,256,0.03,0.910279,0.011257
circles,fixed_phase,256,0.04,0.903385,0.018151
circles,fixed_phase,256,0.05,0.89856,0.022976
circles,fixed_phase,256,0.06,0.894675,0.026861
circles,fixed_phase,256,0.08,0.87947,0.042066
circles,fixed_phase,256,0.1,0.862714,0.058822
circles,fixed_phase,256,0.12,0.847299,0.074237
circles,fixed_phase,256,0.15,0.821396,0.10014
circles,fixed_phase,512,0.0,0.919698,0.001838
circles,fixed_phase,512,0.01,0.919089,0.002447
circles,fixed_phase,512,0.02,0.915103,0.006433
circles,fixed_phase,512,0.03,0.909667,0.011869
circles,fixed_phase,512,0.04,0.906527,0.015009
circles,fixed_phase,512,0.05,0.8983,0.023236
circles,fixed_phase,512,0.06,0.894658,0.026878
circles,fixed_phase,512,0.08,0.87779,0.043746
circles,fixed_phase,512,0.1,0.863571,0.057965
circles,fixed_phase,512,0.12,0.847989,0.073547
circles,fixed_phase,512,0.15,0.819856,0.10168
circles,fixed_phase,1024,0.0,0.920363,0.001173
circles,fixed_phase,1024,0.01,0.917951,0.003585
circles,fixed_phase,1024,0.02,0.914421,0.007115
circles,fixed_phase,1024,0.03,0.908208,0.013328
circles,fixed_phase,1024,0.04,0.904897,0.016639
circles,fixed_phase,1024,0.05,0.896814,0.024722
circles,fixed_phase,1024,0.06,0.892352,0.029184
circles,fixed_phase,1024,0.08,0.876338,0.045198
circles,fixed_phase,1024,0.1,0.862738,0.058798
circles,fixed_phase,1024,0.12,0.847501,0.074035
circles,fixed_phase,1024,0.15,0.820428,0.101108
circles,fixed_phase,2024,0.0,0.922659,-0.001123
circles,fixed_phase,2024,0.01,0.918462,0.003074
circles,fixed_phase,2024,0.02,0.911764,0.009772
circles,fixed_phase,2024,0.03,0.908182,0.013354
circles,fixed_phase,2024,0.04,0.903874,0.017662
circles,fixed_phase,2024,0.05,0.897918,0.023618
circles,fixed_phase,2024,0.06,0.891738,0.029798
circles,fixed_phase,2024,0.08,0.878529,0.043007
circles,fixed_phase,2024,0.1,0.862492,0.059044
circles,fixed_phase,2024,0.12,0.849641,0.071895
circles,fixed_phase,2024,0.15,0.820731,0.100805
circles,fixed_phase,4096,0.0,0.920299,0.001237
circles,fixed_phase,4096,0.01,0.919976,0.00156
circles,fixed_phase,4096,0.02,0.915788,0.005748
circles,fixed_phase,4096,0.03,0.910214,0.011322
circles,fixed_phase,4096,0.04,0.904855,0.016681
circles,fixed_phase,4096,0.05,0.901502,0.020034
circles,fixed_phase,4096,0.06,0.894573,0.026963
circles,fixed_phase,4096,0.08,0.880613,0.040923
circles,fixed_phase,4096,0.1,0.863184,0.058352
circles,fixed_phase,4096,0.12,0.848448,0.073088
circles,fixed_phase,4096,0.15,0.821293,0.100243
circles,fixed_phase,8192,0.0,0.922109,-0.000573
circles,fixed_phase,8192,0.01,0.916775,0.004761
circles,fixed_phase,8192,0.02,0.915101,0.006435
circles,fixed_phase,8192,0.03,0.911366,0.01017
circles,fixed_phase,8192,0.04,0.906486,0.01505
circles,fixed_phase,8192,0.05,0.897885,0.023651
circles,fixed_phase,8192,0.06,0.892267,0.029269
circles,fixed_phase,8192,0.08,0.878429,0.043107
circles,fixed_phase,8192,0.1,0.864988,0.056548
circles,fixed_phase,8192,0.12,0.850805,0.070731
circles,fixed_phase,8192,0.15,0.820048,0.101488
circles,fixed_amplitude,42,0.0,0.916868,-0.000172
circles,fixed_amplitude,42,0.01,0.91506,0.001636
circles,fixed_amplitude,42,0.02,0.907904,0.008792
circles,fixed_amplitude,42,0.03,0.903567,0.013129
circles,fixed_amplitude,42,0.04,0.899693,0.017003
circles,fixed_amplitude,42,0.05,0.892171,0.024525
circles,fixed_amplitude,42,0.06,0.886877,0.029819
circles,fixed_amplitude,42,0.08,0.871732,0.044964
circles,fixed_amplitude,42,0.1,0.858347,0.058349
circles,fixed_amplitude,42,0.12,0.84056,0.076136
circles,fixed_amplitude,42,0.15,0.810589,0.106107
circles,fixed_amplitude,123,0.0,0.917842,-0.001146
circles,fixed_amplitude,123,0.01,0.911202,0.005494
circles,fixed_amplitude,123,0.02,0.907891,0.008805
circles,fixed_amplitude,123,0.03,0.903891,0.012805
circles,fixed_amplitude,123,0.04,0.899206,0.01749
circles,fixed_amplitude,123,0.05,0.892489,0.024207
circles,fixed_amplitude,123,0.06,0.885418,0.031278
circles,fixed_amplitude,123,0.08,0.873149,0.043547
circles,fixed_amplitude,123,0.1,0.855149,0.061547
circles,fixed_amplitude,123,0.12,0.837227,0.079469
circles,fixed_amplitude,123,0.15,0.807589,0.109107
circles,fixed_amplitude,256,0.0,0.916539,0.000157
circles,fixed_amplitude,256,0.01,0.912654,0.004042
circles,fixed_amplitude,256,0.02,0.911371,0.005325
circles,fixed_amplitude,256,0.03,0.903197,0.013499
circles,fixed_amplitude,256,0.04,0.89871,0.017986
circles,fixed_amplitude,256,0.05,0.891515,0.025181
circles,fixed_amplitude,256,0.06,0.885048,0.031648
circles,fixed_amplitude,256,0.08,0.872776,0.04392
circles,fixed_amplitude,256,0.1,0.857095,0.059601
circles,fixed_amplitude,256,0.12,0.838855,0.077841
circles,fixed_amplitude,256,0.15,0.80809,0.108606
circles,fixed_amplitude,512,0.0,0.918041,-0.001345
circles,fixed_amplitude,512,0.01,0.912659,0.004037
circles,fixed_amplitude,512,0.02,0.906607,0.010089
circles,fixed_amplitude,512,0.03,0.904374,0.012322
circles,fixed_amplitude,512,0.04,0.898535,0.018161
circles,fixed_amplitude,512,0.05,0.891066,0.02563
circles,fixed_amplitude,512,0.06,0.885508,0.031188
circles,fixed_amplitude,512,0.08,0.870375,0.046321
circles,fixed_amplitude,512,0.1,0.854436,0.06226
circles,fixed_amplitude,512,0.12,0.836238,0.080458
circles,fixed_amplitude,512,0.15,0.810673,0.106023
circles,fixed_amplitude,1024,0.0,0.917077,-0.000381
circles,fixed_amplitude,1024,0.01,0.912659,0.004037
circles,fixed_amplitude,1024,0.02,0.909681,0.007015
circles,fixed_amplitude,1024,0.03,0.903173,0.013523
circles,fixed_amplitude,1024,0.04,0.899728,0.016968
circles,fixed_amplitude,1024,0.05,0.890195,0.026501
circles,fixed_amplitude,1024,0.06,0.885717,0.030979
circles,fixed_amplitude,1024,0.08,0.871054,0.045642
circles,fixed_amplitude,1024,0.1,0.855394,0.061302
circles,fixed_amplitude,1024,0.12,0.83765,0.079046
circles,fixed_amplitude,1024,0.15,0.808086,0.10861
circles,fixed_amplitude,2024,0.0,0.916885,-0.000189
circles,fixed_amplitude,2024,0.01,0.913626,0.00307
circles,fixed_amplitude,2024,0.02,0.910175,0.006521
circles,fixed_amplitude,2024,0.03,0.903432,0.013264
circles,fixed_amplitude,2024,0.04,0.897167,0.019529
circles,fixed_amplitude,2024,0.05,0.893741,0.022955
circles,fixed_amplitude,2024,0.06,0.888181,0.028515
circles,fixed_amplitude,2024,0.08,0.871094,0.045602
circles,fixed_amplitude,2024,0.1,0.856665,0.060031
circles,fixed_amplitude,2024,0.12,0.839209,0.077487
circles,fixed_amplitude,2024,0.15,0.807917,0.108779
circles,fixed_amplitude,4096,0.0,0.914548,0.002148
circles,fixed_amplitude,4096,0.01,0.911368,0.005328
circles,fixed_amplitude,4096,0.02,0.909219,0.007477
circles,fixed_amplitude,4096,0.03,0.904526,0.01217
circles,fixed_amplitude,4096,0.04,0.900642,0.016054
circles,fixed_amplitude,4096,0.05,0.892226,0.02447
circles,fixed_amplitude,4096,0.06,0.884803,0.031893
circles,fixed_amplitude,4096,0.08,0.874465,0.042231
circles,fixed_amplitude,4096,0.1,0.855599,0.061097
circles,fixed_amplitude,4096,0.12,0.837232,0.079464
circles,fixed_amplitude,4096,0.15,0.809637,0.107059
circles,fixed_amplitude,8192,0.0,0.914472,0.002224
circles,fixed_amplitude,8192,0.01,0.912698,0.003998
circles,fixed_amplitude,8192,0.02,0.908777,0.007919
circles,fixed_amplitude,8192,0.03,0.90156,0.015136
circles,fixed_amplitude,8192,0.04,0.895095,0.021601
circles,fixed_amplitude,8192,0.05,0.891936,0.02476
circles,fixed_amplitude,8192,0.06,0.886933,0.029763
circles,fixed_amplitude,8192,0.08,0.870274,0.046422
circles,fixed_amplitude,8192,0.1,0.855216,0.06148
circles,fixed_amplitude,8192,0.12,0.839444,0.077252
circles,fixed_amplitude,8192,0.15,0.806789,0.109907
circles,random_unitary,42,0.0,0.871057,0.000143
circles,random_unitary,42,0.01,0.867815,0.003385
circles,random_unitary,42,0.02,0.863337,0.007863
circles,random_unitary,42,0.03,0.855549,0.015651
circles,random_unitary,42,0.04,0.849289,0.021911
circles,random_unitary,42,0.05,0.842916,0.028284
circles,random_unitary,42,0.06,0.833706,0.037494
circles,random_unitary,42,0.08,0.813167,0.058033
circles,random_unitary,42,0.1,0.790395,0.080805
circles,random_unitary,42,0.12,0.766993,0.104207
circles,random_unitary,42,0.15,0.72376,0.14744
circles,random_unitary,123,0.0,0.872213,-0.001013
circles,random_unitary,123,0.01,0.866054,0.005146
circles,random_unitary,123,0.02,0.862861,0.008339
circles,random_unitary,123,0.03,0.853895,0.017305
circles,random_unitary,123,0.04,0.847709,0.023491
circles,random_unitary,123,0.05,0.840493,0.030707
circles,random_unitary,123,0.06,0.832169,0.039031
circles,random_unitary,123,0.08,0.812832,0.058368
circles,random_unitary,123,0.1,0.789356,0.081844
circles,random_unitary,123,0.12,0.765119,0.106081
circles,random_unitary,123,0.15,0.721377,0.149823
circles,random_unitary,256,0.0,0.8739,-0.0027
circles,random_unitary,256,0.01,0.866695,0.004505
circles,random_unitary,256,0.02,0.862012,0.009188
circles,random_unitary,256,0.03,0.856255,0.014945
circles,random_unitary,256,0.04,0.849935,0.021265
circles,random_unitary,256,0.05,0.841601,0.029599
circles,random_unitary,256,0.06,0.832738,0.038462
circles,random_unitary,256,0.08,0.812198,0.059002
circles,random_unitary,256,0.1,0.78898,0.08222
circles,random_unitary,256,0.12,0.764985,0.106215
circles,random_unitary,256,0.15,0.72265,0.14855
circles,random_unitary,512,0.0,0.871485,-0.000285
circles,random_unitary,512,0.01,0.868357,0.002843
circles,random_unitary,512,0.02,0.862035,0.009165
circles,random_unitary,512,0.03,0.856618,0.014582
circles,random_unitary,512,0.04,0.850859,0.020341
circles,random_unitary,512,0.05,0.840978,0.030222
circles,random_unitary,512,0.06,0.831904,0.039296
circles,random_unitary,512,0.08,0.809707,0.061493
circles,random_unitary,512,0.1,0.787622,0.083578
circles,random_unitary,512,0.12,0.765845,0.105355
circles,random_unitary,512,0.15,0.723658,0.147542
circles,random_unitary,1024,0.0,0.870619,0.000581
circles,random_unitary,1024,0.01,0.868714,0.002486
circles,random_unitary,1024,0.02,0.862484,0.008716
circles,random_unitary,1024,0.03,0.85751,0.01369
circles,random_unitary,1024,0.04,0.849135,0.022065
circles,random_unitary,1024,0.05,0.841328,0.029872
circles,random_unitary,1024,0.06,0.829889,0.041311
circles,random_unitary,1024,0.08,0.80992,0.06128
circles,random_unitary,1024,0.1,0.790776,0.080424
circles,random_unitary,1024,0.12,0.765621,0.105579
circles,random_unitary,1024,0.15,0.723852,0.147348
circles,random_unitary,2024,0.0,0.871143,5.7e-05
circles,random_unitary,2024,0.01,0.866198,0.005002
circles,random_unitary,2024,0.02,0.862391,0.008809
circles,random_unitary,2024,0.03,0.854716,0.016484
circles,random_unitary,2024,0.04,0.850353,0.020847
circles,random_unitary,2024,0.05,0.843662,0.027538
circles,random_unitary,2024,0.06,0.832286,0.038914
circles,random_unitary,2024,0.08,0.812281,0.058919
circles,random_unitary,2024,0.1,0.789215,0.081985
circles,random_unitary,2024,0.12,0.764094,0.107106
circles,random_unitary,2024,0.15,0.722811,0.148389
circles,random_unitary,4096,0.0,0.873583,-0.002383
circles,random_unitary,4096,0.01,0.866101,0.005099
circles,random_unitary,4096,0.02,0.861834,0.009366
circles,random_unitary,4096,0.03,0.855514,0.015686
circles,random_unitary,4096,0.04,0.849763,0.021437
circles,random_unitary,4096,0.05,0.84353,0.02767
circles,random_unitary,4096,0.06,0.833298,0.037902
circles,random_unitary,4096,0.08,0.812761,0.058439
circles,random_unitary,4096,0.1,0.791353,0.079847
circles,random_unitary,4096,0.12,0.766184,0.105016
circles,random_unitary,4096,0.15,0.722948,0.148252
circles,random_unitary,8192,0.0,0.869984,0.001216
circles,random_unitary,8192,0.01,0.864886,0.006314
circles,random_unitary,8192,0.02,0.861459,0.009741
circles,random_unitary,8192,0.03,0.856566,0.014634
circles,random_unitary,8192,0.04,0.848502,0.022698
circles,random_unitary,8192,0.05,0.841873,0.029327
circles,random_unitary,8192,0.06,0.832753,0.038447
circles,random_unitary,8192,0.08,0.813176,0.058024
circles,random_unitary,8192,0.1,0.789157,0.082043
circles,random_unitary,8192,0.12,0.765463,0.105737
circles,random_unitary,8192,0.15,0.723125,0.148075
circles,mlp,42,0.0,0.95258,0.0009
circles,mlp,42,0.01,0.949211,0.004269
circles,mlp,42,0.02,0.94768,0.0058
circles,mlp,42,0.03,0.944766,0.008714
circles,mlp,42,0.04,0.937856,0.015624
circles,mlp,42,0.05,0.934533,0.018947
circles,mlp,42,0.06,0.927261,0.026219
circles,mlp,42,0.08,0.915984,0.037496
circles,mlp,42,0.1,0.902725,0.050755
circles,mlp,42,0.12,0.887268,0.066212
circles,mlp,42,0.15,0.867812,0.085668
circles,mlp,123,0.0,0.954505,-0.001025
circles,mlp,123,0.01,0.950771,0.002709
circles,mlp,123,0.02,0.947655,0.005825
circles,mlp,123,0.03,0.94505,0.00843
circles,mlp,123,0.04,0.939097,0.014383
circles,mlp,123,0.05,0.934516,0.018964
circles,mlp,123,0.06,0.926071,0.027409
circles,mlp,123,0.08,0.916555,0.036925
circles,mlp,123,0.1,0.902424,0.051056
circles,mlp,123,0.12,0.889765,0.063715
circles,mlp,123,0.15,0.864948,0.088532
circles,mlp,256,0.0,0.952043,0.001437
circles,mlp,256,0.01,0.949744,0.003736
circles,mlp,256,0.02,0.944806,0.008674
circles,mlp,256,0.03,0.943741,0.009739
circles,mlp,256,0.04,0.941327,0.012153
circles,mlp,256,0.05,0.933052,0.020428
circles,mlp,256,0.06,0.926506,0.026974
circles,mlp,256,0.08,0.917332,0.036148
circles,mlp,256,0.1,0.905028,0.048452
circles,mlp,256,0.12,0.888229,0.065251
circles,mlp,256,0.15,0.865946,0.087534
circles,mlp,512,0.0,0.953734,-0.000254
circles,mlp,512,0.01,0.950306,0.003174
circles,mlp,512,0.02,0.946211,0.007269
circles,mlp,512,0.03,0.941243,0.012237
circles,mlp,512,0.04,0.941192,0.012288
circles,mlp,512,0.05,0.93232,0.02116
circles,mlp,512,0.06,0.928949,0.024531
circles,mlp,512,0.08,0.917148,0.036332
circles,mlp,512,0.1,0.903709,0.049771
circles,mlp,512,0.12,0.889691,0.063789
circles,mlp,512,0.15,0.867076,0.086404
circles,mlp,1024,0.0,0.951213,0.002267
circles,mlp,1024,0.01,0.951187,0.002293
circles,mlp,1024,0.02,0.946565,0.006915
circles,mlp,1024,0.03,0.943644,0.009836
circles,mlp,1024,0.04,0.938005,0.015475
circles,mlp,1024,0.05,0.933732,0.019748
circles,mlp,1024,0.06,0.928633,0.024847
circles,mlp,1024,0.08,0.919457,0.034023
circles,mlp,1024,0.1,0.90281,0.05067
circles,mlp,1024,0.12,0.888934,0.064546
circles,mlp,1024,0.15,0.864744,0.088736
circles,mlp,2024,0.0,0.955623,-0.002143
circles,mlp,2024,0.01,0.950708,0.002772
circles,mlp,2024,0.02,0.947299,0.006181
circles,mlp,2024,0.03,0.943528,0.009952
circles,mlp,2024,0.04,0.937243,0.016237
circles,mlp,2024,0.05,0.931474,0.022006
circles,mlp,2024,0.06,0.925263,0.028217
circles,mlp,2024,0.08,0.917439,0.036041
circles,mlp,2024,0.1,0.903078,0.050402
circles,mlp,2024,0.12,0.889075,0.064405
circles,mlp,2024,0.15,0.865525,0.087955
circles,mlp,4096,0.0,0.953055,0.000425
circles,mlp,4096,0.01,0.951907,0.001573
circles,mlp,4096,0.02,0.948368,0.005112
circles,mlp,4096,0.03,0.94432,0.00916
circles,mlp,4096,0.04,0.935849,0.017631
circles,mlp,4096,0.05,0.933756,0.019724
circles,mlp,4096,0.06,0.929447,0.024033
circles,mlp,4096,0.08,0.916359,0.037121
circles,mlp,4096,0.1,0.903749,0.049731
circles,mlp,4096,0.12,0.88976,0.06372
circles,mlp,4096,0.15,0.865757,0.087723
circles,mlp,8192,0.0,0.952609,0.000871
circles,mlp,8192,0.01,0.949639,0.003841
circles,mlp,8192,0.02,0.946092,0.007388
circles,mlp,8192,0.03,0.94443,0.00905
circles,mlp,8192,0.04,0.937206,0.016274
circles,mlp,8192,0.05,0.932249,0.021231
circles,mlp,8192,0.06,0.924591,0.028889
circles,mlp,8192,0.08,0.91524,0.03824
circles,mlp,8192,0.1,0.902529,0.050951
circles,mlp,8192,0.12,0.888557,0.064923
circles,mlp,8192,0.15,0.865416,0.088064
circles,cnn,42,0.0,0.974387,-0.001547
circles,cnn,42,0.01,0.971319,0.001521
circles,cnn,42,0.02,0.966516,0.006324
circles,cnn,42,0.03,0.963755,0.009085
circles,cnn,42,0.04,0.959875,0.012965
circles,cnn,42,0.05,0.954916,0.017924
circles,cnn,42,0.06,0.949076,0.023764
circles,cnn,42,0.08,0.941358,0.031482
circles,cnn,42,0.1,0.928828,0.044012
circles,cnn,42,0.12,0.920441,0.052399
circles,cnn,42,0.15,0.899469,0.073371
circles,cnn,123,0.0,0.973318,-0.000478
circles,cnn,123,0.01,0.972101,0.000739
circles,cnn,123,0.02,0.965135,0.007705
circles,cnn,123,0.03,0.963186,0.009654
circles,cnn,123,0.04,0.959619,0.013221
circles,cnn,123,0.05,0.955302,0.017538
circles,cnn,123,0.06,0.949169,0.023671
circles,cnn,123,0.08,0.942807,0.030033
circles,cnn,123,0.1,0.927777,0.045063
circles,cnn,123,0.12,0.920236,0.052604
circles,cnn,123,0.15,0.900135,0.072705
circles,cnn,256,0.0,0.973907,-0.001067
circles,cnn,256,0.01,0.971061,0.001779
circles,cnn,256,0.02,0.966544,0.006296
circles,cnn,256,0.03,0.959836,0.013004
circles,cnn,256,0.04,0.959493,0.013347
circles,cnn,256,0.05,0.956755,0.016085
circles,cnn,256,0.06,0.947016,0.025824
circles,cnn,256,0.08,0.940282,0.032558
circles,cnn,256,0.1,0.929833,0.043007
circles,cnn,256,0.12,0.917402,0.055438
circles,cnn,256,0.15,0.899898,0.072942
circles,cnn,512,0.0,0.975628,-0.002788
circles,cnn,512,0.01,0.971165,0.001675
circles,cnn,512,0.02,0.965516,0.007324
circles,cnn,512,0.03,0.963433,0.009407
circles,cnn,512,0.04,0.956356,0.016484
circles,cnn,512,0.05,0.953565,0.019275
circles,cnn,512,0.06,0.948758,0.024082
circles,cnn,512,0.08,0.939764,0.033076
circles,cnn,512,0.1,0.929163,0.043677
circles,cnn,512,0.12,0.916462,0.056378
circles,cnn,512,0.15,0.900005,0.072835
circles,cnn,1024,0.0,0.972542,0.000298
circles,cnn,1024,0.01,0.970752,0.002088
circles,cnn,1024,0.02,0.965214,0.007626
circles,cnn,1024,0.03,0.961987,0.010853
circles,cnn,1024,0.04,0.96066,0.01218
circles,cnn,1024,0.05,0.956156,0.016684
circles,cnn,1024,0.06,0.947873,0.024967
circles,cnn,1024,0.08,0.939694,0.033146
circles,cnn,1024,0.1,0.928522,0.044318
circles,cnn,1024,0.12,0.91849,0.05435
circles,cnn,1024,0.15,0.896873,0.075967
circles,cnn,2024,0.0,0.971356,0.001484
circles,cnn,2024,0.01,0.968456,0.004384
circles,cnn,2024,0.02,0.966038,0.006802
circles,cnn,2024,0.03,0.964654,0.008186
circles,cnn,2024,0.04,0.958812,0.014028
circles,cnn,2024,0.05,0.956361,0.016479
circles,cnn,2024,0.06,0.950495,0.022345
circles,cnn,2024,0.08,0.941744,0.031096
circles,cnn,2024,0.1,0.92894,0.0439
circles,cnn,2024,0.12,0.918347,0.054493
circles,cnn,2024,0.15,0.900044,0.072796
circles,cnn,4096,0.0,0.973524,-0.000684
circles,cnn,4096,0.01,0.969922,0.002918
circles,cnn,4096,0.02,0.966446,0.006394
circles,cnn,4096,0.03,0.966217,0.006623
circles,cnn,4096,0.04,0.959678,0.013162
circles,cnn,4096,0.05,0.956497,0.016343
circles,cnn,4096,0.06,0.954421,0.018419
circles,cnn,4096,0.08,0.939564,0.033276
circles,cnn,4096,0.1,0.931486,0.041354
circles,cnn,4096,0.12,0.916427,0.056413
circles,cnn,4096,0.15,0.897434,0.075406
circles,cnn,8192,0.0,0.971283,0.001557
circles,cnn,8192,0.01,0.969983,0.002857
circles,cnn,8192,0.02,0.966551,0.006289
circles,cnn,8192,0.03,0.964111,0.008729
circles,cnn,8192,0.04,0.958708,0.014132
circles,cnn,8192,0.05,0.954265,0.018575
circles,cnn,8192,0.06,0.948353,0.024487
circles,cnn,8192,0.08,0.940898,0.031942
circles,cnn,8192,0.1,0.929347,0.043493
circles,cnn,8192,0.12,0.916923,0.055917
circles,cnn,8192,0.15,0.899685,0.073155
mnist,proposed,42,0.0,0.987248,-0.000248
mnist,proposed,42,0.01,0.985759,0.001241
mnist,proposed,42,0.02,0.983141,0.003859
mnist,proposed,42,0.03,0.979179,0.007821
mnist,proposed,42,0.04,0.978985,0.008015
mnist,proposed,42,0.05,0.977272,0.009728
mnist,proposed,42,0.06,0.975585,0.011415
mnist,proposed,42,0.08,0.969631,0.017369
mnist,proposed,42,0.1,0.962907,0.024093
mnist,proposed,42,0.12,0.958256,0.028744
mnist,proposed,42,0.15,0.950445,0.036555
mnist,proposed,123,0.0,0.987774,-0.000774
mnist,proposed,123,0.01,0.985768,0.001232
mnist,proposed,123,0.02,0.982187,0.004813
mnist,proposed,123,0.03,0.981108,0.005892
mnist,proposed,123,0.04,0.978051,0.008949
mnist,proposed,123,0.05,0.97537,0.01163
mnist,proposed,123,0.06,0.975109,0.011891
mnist,proposed,123,0.08,0.968744,0.018256
mnist,proposed,123,0.1,0.961456,0.025544
mnist,proposed,123,0.12,0.957738,0.029262
mnist,proposed,123,0.15,0.946845,0.040155
mnist,proposed,256,0.0,0.985619,0.001381
mnist,proposed,256,0.01,0.985168,0.001832
mnist,proposed,256,0.02,0.982838,0.004162
