dataset,model,seed,condition,phase_noise_sigma_rad,insertion_loss_db_per_mode,accuracy,accuracy_drop
circles,mlp,123,clean,0.0,0.0,0.952045,0.0
circles,mlp,123,hardware_noise,0.05,1.0,0.910276,0.04177
circles,mlp,256,clean,0.0,0.0,0.952844,0.0
circles,mlp,256,hardware_noise,0.05,1.0,0.913724,0.03912
circles,mlp,512,clean,0.0,0.0,0.955765,0.0
circles,mlp,512,hardware_noise,0.05,1.0,0.918286,0.037479
circles,mlp,1024,clean,0.0,0.0,0.954092,0.0
circles,mlp,1024,hardware_noise,0.05,1.0,0.914014,0.040077
circles,mlp,2024,clean,0.0,0.0,0.951533,0.0
circles,mlp,2024,hardware_noise,0.05,1.0,0.906664,0.044869
circles,mlp,4096,clean,0.0,0.0,0.953868,0.0
circles,mlp,4096,hardware_noise,0.05,1.0,0.914934,0.038935
circles,mlp,8192,clean,0.0,0.0,0.95526,0.0
circles,mlp,8192,hardware_noise,0.05,1.0,0.915288,0.039973
circles,cnn,42,clean,0.0,0.0,0.971484,0.0
circles,cnn,42,hardware_noise,0.05,1.0,0.932915,0.038569
circles,cnn,123,clean,0.0,0.0,0.972947,0.0
circles,cnn,123,hardware_noise,0.05,1.0,0.936114,0.036833
circles,cnn,256,clean,0.0,0.0,0.973634,0.0
circles,cnn,256,hardware_noise,0.05,1.0,0.935512,0.038122
circles,cnn,512,clean,0.0,0.0,0.971814,0.0
circles,cnn,512,hardware_noise,0.05,1.0,0.931042,0.040772
circles,cnn,1024,clean,0.0,0.0,0.97131,0.0
circles,cnn,1024,hardware_noise,0.05,1.0,0.934792,0.036518
circles,cnn,2024,clean,0.0,0.0,0.972276,0.0
circles,cnn,2024,hardware_noise,0.05,1.0,0.935582,0.036694
circles,cnn,4096,clean,0.0,0.0,0.972525,0.0
circles,cnn,4096,hardware_noise,0.05,1.0,0.934495,0.03803
circles,cnn,8192,clean,0.0,0.0,0.971265,0.0
circles,cnn,8192,hardware_noise,0.05,1.0,0.93532,0.035945
mnist,proposed,42,clean,0.0,0.0,0.986389,0.0
mnist,proposed,42,hardware_noise,0.05,1.0,0.951923,0.034466
mnist,proposed,123,clean,0.0,0.0,0.98698,0.0
mnist,proposed,123,hardware_noise,0.05,1.0,0.950357,0.036623
mnist,proposed,256,clean,0.0,0.0,0.986382,0.0
mnist,proposed,256,hardware_noise,0.05,1.0,0.951685,0.034697
mnist,proposed,512,clean,0.0,0.0,0.984863,0.0
mnist,proposed,512,hardware_noise,0.05,1.0,0.951809,0.033053
mnist,proposed,1024,clean,0.0,0.0,0.986427,0.0
mnist,proposed,1024,hardware_noise,0.05,1.0,0.949967,0.03646
mnist,proposed,2024,clean,0.0,0.0,0.989343,0.0
mnist,proposed,2024,hardware_noise,0.05,1.0,0.955942,0.033401
mnist,proposed,4096,clean,0.0,0.0,0.988021,0.0
mnist,proposed,4096,hardware_noise,0.05,1.0,0.952452,0.035569
mnist,proposed,8192,clean,0.0,0.0,0.986278,0.0
mnist,proposed,8192,hardware_noise,0.05,1.0,0.94798,0.038299
mnist,fixed_phase,42,clean,0.0,0.0,0.941315,0.0
mnist,fixed_phase,42,hardware_noise,0.05,1.0,0.898548,0.042768
mnist,fixed_phase,123,clean,0.0,0.0,0.939601,0.0
mnist,fixed_phase,123,hardware_noise,0.05,1.0,0.895245,0.044356
mnist,fixed_phase,256,clean,0.0,0.0,0.937242,0.0
mnist,fixed_phase,256,hardware_noise,0.05,1.0,0.894608,0.042635
mnist,fixed_phase,512,clean,0.0,0.0,0.943049,0.0
mnist,fixed_phase,512,hardware_noise,0.05,1.0,0.900561,0.042488
mnist,fixed_phase,1024,clean,0.0,0.0,0.936755,0.0
mnist,fixed_phase,1024,hardware_noise,0.05,1.0,0.893026,0.043729
mnist,fixed_phase,2024,clean,0.0,0.0,0.940459,0.0
mnist,fixed_phase,2024,hardware_noise,0.05,1.0,0.900708,0.039751
mnist,fixed_phase,4096,clean,0.0,0.0,0.939463,0.0
mnist,fixed_phase,4096,hardware_noise,0.05,1.0,0.895835,0.043628
mnist,fixed_phase,8192,clean,0.0,0.0,0.93788,0.0
mnist,fixed_phase,8192,hardware_noise,0.05,1.0,0.896281,0.0416
mnist,fixed_amplitude,42,clean,0.0,0.0,0.935613,0.0
mnist,fixed_amplitude,42,hardware_noise,0.05,1.0,0.889362,0.046251
mnist,fixed_amplitude,123,clean,0.0,0.0,0.933233,0.0
mnist,fixed_amplitude,123,hardware_noise,0.05,1.0,0.889151,0.044082
mnist,fixed_amplitude,256,clean,0.0,0.0,0.934662,0.0
mnist,fixed_amplitude,256,hardware_noise,0.05,1.0,0.894665,0.039997
mnist,fixed_amplitude,512,clean,0.0,0.0,0.936532,0.0
mnist,fixed_amplitude,512,hardware_noise,0.05,1.0,0.895866,0.040667
mnist,fixed_amplitude,1024,clean,0.0,0.0,0.934601,0.0
mnist,fixed_amplitude,1024,hardware_noise,0.05,1.0,0.88863,0.045971
mnist,fixed_amplitude,2024,clean,0.0,0.0,0.93681,0.0
mnist,fixed_amplitude,2024,hardware_noise,0.05,1.0,0.893498,0.043313
mnist,fixed_amplitude,4096,clean,0.0,0.0,0.933183,0.0
mnist,fixed_amplitude,4096,hardware_noise,0.05,1.0,0.886924,0.046259
mnist,fixed_amplitude,8192,clean,0.0,0.0,0.938562,0.0
mnist,fixed_amplitude,8192,hardware_noise,0.05,1.0,0.892545,0.046017
mnist,random_unitary,42,clean,0.0,0.0,0.889304,0.0
mnist,random_unitary,42,hardware_noise,0.05,1.0,0.838054,0.051249
mnist,random_unitary,123,clean,0.0,0.0,0.889165,0.0
mnist,random_unitary,123,hardware_noise,0.05,1.0,0.836713,0.052452
mnist,random_unitary,256,clean,0.0,0.0,0.888302,0.0
mnist,random_unitary,256,hardware_noise,0.05,1.0,0.83632,0.051982
mnist,random_unitary,512,clean,0.0,0.0,0.887988,0.0
mnist,random_unitary,512,hardware_noise,0.05,1.0,0.836246,0.051742
mnist,random_unitary,1024,clean,0.0,0.0,0.887875,0.0
mnist,random_unitary,1024,hardware_noise,0.05,1.0,0.84061,0.047266
mnist,random_unitary,2024,clean,0.0,0.0,0.888335,0.0
mnist,random_unitary,2024,hardware_noise,0.05,1.0,0.838384,0.049951
mnist,random_unitary,4096,clean,0.0,0.0,0.885164,0.0
mnist,random_unitary,4096,hardware_noise,0.05,1.0,0.835896,0.049268
mnist,random_unitary,8192,clean,0.0,0.0,0.885412,0.0
mnist,random_unitary,8192,hardware_noise,0.05,1.0,0.833784,0.051627
mnist,mlp,42,clean,0.0,0.0,0.972677,0.0
mnist,mlp,42,hardware_noise,0.05,1.0,0.930351,0.042326
mnist,mlp,123,clean,0.0,0.0,0.973737,0.0
mnist,mlp,123,hardware_noise,0.05,1.0,0.933546,0.040191
mnist,mlp,256,clean,0.0,0.0,0.972001,0.0
mnist,mlp,256,hardware_noise,0.05,1.0,0.929456,0.042545
mnist,mlp,512,clean,0.0,0.0,0.967755,0.0
mnist,mlp,512,hardware_noise,0.05,1.0,0.92795,0.039805
mnist,mlp,1024,clean,0.0,0.0,0.971379,0.0
mnist,mlp,1024,hardware_noise,0.05,1.0,0.930702,0.040677
mnist,mlp,2024,clean,0.0,0.0,0.971459,0.0
mnist,mlp,2024,hardware_noise,0.05,1.0,0.933724,0.037735
mnist,mlp,4096,clean,0.0,0.0,0.971014,0.0
mnist,mlp,4096,hardware_noise,0.05,1.0,0.928283,0.042731
mnist,mlp,8192,clean,0.0,0.0,0.973774,0.0
mnist,mlp,8192,hardware_noise,0.05,1.0,0.933704,0.04007
mnist,cnn,42,clean,0.0,0.0,0.99226,0.0
mnist,cnn,42,hardware_noise,0.05,1.0,0.95093,0.04133
mnist,cnn,123,clean,0.0,0.0,0.991248,0.0
mnist,cnn,123,hardware_noise,0.05,1.0,0.955079,0.036169
mnist,cnn,256,clean,0.0,0.0,0.990566,0.0
mnist,cnn,256,hardware_noise,0.05,1.0,0.953036,0.03753
mnist,cnn,512,clean,0.0,0.0,0.993939,0.0
mnist,cnn,512,hardware_noise,0.05,1.0,0.954068,0.039871
mnist,cnn,1024,clean,0.0,0.0,0.990222,0.0
mnist,cnn,1024,hardware_noise,0.05,1.0,0.949996,0.040226
mnist,cnn,2024,clean,0.0,0.0,0.990853,0.0
mnist,cnn,2024,hardware_noise,0.05,1.0,0.951051,0.039803
mnist,cnn,4096,clean,0.0,0.0,0.992539,0.0
mnist,cnn,4096,hardware_noise,0.05,1.0,0.953438,0.039101
mnist,cnn,8192,clean,0.0,0.0,0.990018,0.0
mnist,cnn,8192,hardware_noise,0.05,1.0,0.953244,0.036775
fashion_mnist,proposed,42,clean,0.0,0.0,0.915353,0.0
fashion_mnist,proposed,42,hardware_noise,0.05,1.0,0.881873,0.033481
fashion_mnist,proposed,123,clean,0.0,0.0,0.913365,0.0
fashion_mnist,proposed,123,hardware_noise,0.05,1.0,0.878376,0.034989
fashion_mnist,proposed,256,clean,0.0,0.0,0.912912,0.0
fashion_mnist,proposed,256,hardware_noise,0.05,1.0,0.877625,0.035287
fashion_mnist,proposed,512,clean,0.0,0.0,0.915594,0.0
fashion_mnist,proposed,512,hardware_noise,0.05,1.0,0.881171,0.034423
fashion_mnist,proposed,1024,clean,0.0,0.0,0.915531,0.0
fashion_mnist,proposed,1024,hardware_noise,0.05,1.0,0.879367,0.036164
fashion_mnist,proposed,2024,clean,0.0,0.0,0.915189,0.0
fashion_mnist,proposed,2024,hardware_noise,0.05,1.0,0.880345,0.034845
fashion_mnist,proposed,4096,clean,0.0,0.0,0.913338,0.0
fashion_mnist,proposed,4096,hardware_noise,0.05,1.0,0.880314,0.033024
fashion_mnist,proposed,8192,clean,0.0,0.0,0.913149,0.0
fashion_mnist,proposed,8192,hardware_noise,0.05,1.0,0.875281,0.037868
fashion_mnist,fixed_phase,42,clean,0.0,0.0,0.871778,0.0
fashion_mnist,fixed_phase,42,hardware_noise,0.05,1.0,0.829517,0.042261
fashion_mnist,fixed_phase,123,clean,0.0,0.0,0.869143,0.0
fashion_mnist,fixed_phase,123,hardware_noise,0.05,1.0,0.829279,0.039864
fashion_mnist,fixed_phase,256,clean,0.0,0.0,0.870231,0.0
fashion_mnist,fixed_phase,256,hardware_noise,0.05,1.0,0.829631,0.0406
fashion_mnist,fixed_phase,512,clean,0.0,0.0,0.869054,0.0
fashion_mnist,fixed_phase,512,hardware_noise,0.05,1.0,0.826749,0.042305
fashion_mnist,fixed_phase,1024,clean,0.0,0.0,0.869468,0.0
fashion_mnist,fixed_phase,1024,hardware_noise,0.05,1.0,0.826331,0.043136
fashion_mnist,fixed_phase,2024,clean,0.0,0.0,0.871886,0.0
fashion_mnist,fixed_phase,2024,hardware_noise,0.05,1.0,0.828272,0.043614
fashion_mnist,fixed_phase,4096,clean,0.0,0.0,0.868214,0.0
fashion_mnist,fixed_phase,4096,hardware_noise,0.05,1.0,0.826522,0.041692
fashion_mnist,fixed_phase,8192,clean,0.0,0.0,0.8678,0.0
fashion_mnist,fixed_phase,8192,hardware_noise,0.05,1.0,0.82503,0.042771
fashion_mnist,fixed_amplitude,42,clean,0.0,0.0,0.862512,0.0
fashion_mnist,fixed_amplitude,42,hardware_noise,0.05,1.0,0.819273,0.043238
fashion_mnist,fixed_amplitude,123,clean,0.0,0.0,0.866901,0.0
fashion_mnist,fixed_amplitude,123,hardware_noise,0.05,1.0,0.823123,0.043778
fashion_mnist,fixed_amplitude,256,clean,0.0,0.0,0.867619,0.0
fashion_mnist,fixed_amplitude,256,hardware_noise,0.05,1.0,0.824849,0.04277
fashion_mnist,fixed_amplitude,512,clean,0.0,0.0,0.865301,0.0
fashion_mnist,fixed_amplitude,512,hardware_noise,0.05,1.0,0.821479,0.043822
fashion_mnist,fixed_amplitude,1024,clean,0.0,0.0,0.866501,0.0
fashion_mnist,fixed_amplitude,1024,hardware_noise,0.05,1.0,0.823159,0.043342
fashion_mnist,fixed_amplitude,2024,clean,0.0,0.0,0.863439,0.0
fashion_mnist,fixed_amplitude,2024,hardware_noise,0.05,1.0,0.82144,0.041999
fashion_mnist,fixed_amplitude,4096,clean,0.0,0.0,0.865809,0.0
fashion_mnist,fixed_amplitude,4096,hardware_noise,0.05,1.0,0.821423,0.044386
fashion_mnist,fixed_amplitude,8192,clean,0.0,0.0,0.864518,0.0
fashion_mnist,fixed_amplitude,8192,hardware_noise,0.05,1.0,0.820438,0.04408
fashion_mnist,random_unitary,42,clean,0.0,0.0,0.822753,0.0
fashion_mnist,random_unitary,42,hardware_noise,0.05,1.0,0.773491,0.049262
fashion_mnist,random_unitary,123,clean,0.0,0.0,0.824877,0.0
fashion_mnist,random_unitary,123,hardware_noise,0.05,1.0,0.774649,0.050227
fashion_mnist,random_unitary,256,clean,0.0,0.0,0.82226,0.0
fashion_mnist,random_unitary,256,hardware_noise,0.05,1.0,0.773573,0.048687
fashion_mnist,random_unitary,512,clean,0.0,0.0,0.823037,0.0
fashion_mnist,random_unitary,512,hardware_noise,0.05,1.0,0.773058,0.049979
fashion_mnist,random_unitary,1024,clean,0.0,0.0,0.825111,0.0
fashion_mnist,random_unitary,1024,hardware_noise,0.05,1.0,0.775158,0.049954
fashion_mnist,random_unitary,2024,clean,0.0,0.0,0.823596,0.0
fashion_mnist,random_unitary,2024,hardware_noise,0.05,1.0,0.769996,0.0536
fashion_mnist,random_unitary,4096,clean,0.0,0.0,0.821135,0.0
fashion_mnist,random_unitary,4096,hardware_noise,0.05,1.0,0.767929,0.053206
fashion_mnist,random_unitary,8192,clean,0.0,0.0,0.822393,0.0
fashion_mnist,random_unitary,8192,hardware_noise,0.05,1.0,0.770783,0.05161
fashion_mnist,mlp,42,clean,0.0,0.0,0.900661,0.0
fashion_mnist,mlp,42,hardware_noise,0.05,1.0,0.85902,0.041641
fashion_mnist,mlp,123,clean,0.0,0.0,0.900036,0.0
fashion_mnist,mlp,123,hardware_noise,0.05,1.0,0.859309,0.040727
fashion_mnist,mlp,256,clean,0.0,0.0,0.899795,0.0
fashion_mnist,mlp,256,hardware_noise,0.05,1.0,0.859858,0.039937
fashion_mnist,mlp,512,clean,0.0,0.0,0.902497,0.0
fashion_mnist,mlp,512,hardware_noise,0.05,1.0,0.860547,0.041951
fashion_mnist,mlp,1024,clean,0.0,0.0,0.898324,0.0
fashion_mnist,mlp,1024,hardware_noise,0.05,1.0,0.85773,0.040594
fashion_mnist,mlp,2024,clean,0.0,0.0,0.900833,0.0
fashion_mnist,mlp,2024,hardware_noise,0.05,1.0,0.86051,0.040323
fashion_mnist,mlp,4096,clean,0.0,0.0,0.89886,0.0
fashion_mnist,mlp,4096,hardware_noise,0.05,1.0,0.858835,0.040025
fashion_mnist,mlp,8192,clean,0.0,0.0,0.899578,0.0
fashion_mnist,mlp,8192,hardware_noise,0.05,1.0,0.859984,0.039594
fashion_mnist,cnn,42,clean,0.0,0.0,0.918656,0.0
fashion_mnist,cnn,42,hardware_noise,0.05,1.0,0.878779,0.039878
fashion_mnist,cnn,123,clean,0.0,0.0,0.915779,0.0
fashion_mnist,cnn,123,hardware_noise,0.05,1.0,0.879714,0.036065
fashion_mnist,cnn,256,clean,0.0,0.0,0.919049,0.0
fashion_mnist,cnn,256,hardware_noise,0.05,1.0,0.880486,0.038563
fashion_mnist,cnn,512,clean,0.0,0.0,0.919115,0.0
fashion_mnist,cnn,512,hardware_noise,0.05,1.0,0.879636,0.039479
fashion_mnist,cnn,1024,clean,0.0,0.0,0.917578,0.0
fashion_mnist,cnn,1024,hardware_noise,0.05,1.0,0.879839,0.037739
fashion_mnist,cnn,2024,clean,0.0,0.0,0.918726,0.0
fashion_mnist,cnn,2024,hardware_noise,0.05,1.0,0.877597,0.041129
fashion_mnist,cnn,4096,clean,0.0,0.0,0.919023,0.0
fashion_mnist,cnn,4096,hardware_noise,0.05,1.0,0.881685,0.037337
fashion_mnist,cnn,8192,clean,0.0,0.0,0.921108,0.0
fashion_mnist,cnn,8192,hardware_noise,0.05,1.0,0.881832,0.039276
cifar10,proposed,42,clean,0.0,0.0,0.742279,0.0
cifar10,proposed,42,hardware_noise,0.05,1.0,0.707977,0.034302
cifar10,proposed,123,clean,0.0,0.0,0.743784,0.0
cifar10,proposed,123,hardware_noise,0.05,1.0,0.706375,0.037408
cifar10,proposed,256,clean,0.0,0.0,0.743469,0.0
cifar10,proposed,256,hardware_noise,0.05,1.0,0.707617,0.035851
cifar10,proposed,512,clean,0.0,0.0,0.742868,0.0
cifar10,proposed,512,hardware_noise,0.05,1.0,0.7042,0.038668
cifar10,proposed,1024,clean,0.0,0.0,0.740991,0.0
cifar10,proposed,1024,hardware_noise,0.05,1.0,0.704743,0.036248
cifar10,proposed,2024,clean,0.0,0.0,0.743366,0.0
cifar10,proposed,2024,hardware_noise,0.05,1.0,0.71008,0.033286
cifar10,proposed,4096,clean,0.0,0.0,0.737828,0.0
cifar10,proposed,4096,hardware_noise,0.05,1.0,0.704158,0.03367
cifar10,proposed,8192,clean,0.0,0.0,0.743617,0.0
cifar10,proposed,8192,hardware_noise,0.05,1.0,0.710286,0.033331
cifar10,fixed_phase,42,clean,0.0,0.0,0.707132,0.0
cifar10,fixed_phase,42,hardware_noise,0.05,1.0,0.663005,0.044127
cifar10,fixed_phase,123,clean,0.0,0.0,0.70716,0.0
cifar10,fixed_phase,123,hardware_noise,0.05,1.0,0.665483,0.041677
cifar10,fixed_phase,256,clean,0.0,0.0,0.708945,0.0
cifar10,fixed_phase,256,hardware_noise,0.05,1.0,0.663295,0.04565
cifar10,fixed_phase,512,clean,0.0,0.0,0.70712,0.0
cifar10,fixed_phase,512,hardware_noise,0.05,1.0,0.666231,0.040889
cifar10,fixed_phase,1024,clean,0.0,0.0,0.705438,0.0
cifar10,fixed_phase,1024,hardware_noise,0.05,1.0,0.664985,0.040453
cifar10,fixed_phase,2024,clean,0.0,0.0,0.707116,0.0
cifar10,fixed_phase,2024,hardware_noise,0.05,1.0,0.663171,0.043945
cifar10,fixed_phase,4096,clean,0.0,0.0,0.706801,0.0
cifar10,fixed_phase,4096,hardware_noise,0.05,1.0,0.662778,0.044023
cifar10,fixed_phase,8192,clean,0.0,0.0,0.705085,0.0
cifar10,fixed_phase,8192,hardware_noise,0.05,1.0,0.662044,0.043041
cifar10,fixed_amplitude,42,clean,0.0,0.0,0.702047,0.0
cifar10,fixed_amplitude,42,hardware_noise,0.05,1.0,0.659583,0.042464
cifar10,fixed_amplitude,123,clean,0.0,0.0,0.700081,0.0
cifar10,fixed_amplitude,123,hardware_noise,0.05,1.0,0.655745,0.044336
cifar10,fixed_amplitude,256,clean,0.0,0.0,0.700779,0.0
cifar10,fixed_amplitude,256,hardware_noise,0.05,1.0,0.656189,0.04459
cifar10,fixed_amplitude,512,clean,0.0,0.0,0.701243,0.0
cifar10,fixed_amplitude,512,hardware_noise,0.05,1.0,0.657207,0.044036
cifar10,fixed_amplitude,1024,clean,0.0,0.0,0.702442,0.0
cifar10,fixed_amplitude,1024,hardware_noise,0.05,1.0,0.660391,0.042052
cifar10,fixed_amplitude,2024,clean,0.0,0.0,0.701278,0.0
cifar10,fixed_amplitude,2024,hardware_noise,0.05,1.0,0.656887,0.044391
cifar10,fixed_amplitude,4096,clean,0.0,0.0,0.703852,0.0
cifar10,fixed_amplitude,4096,hardware_noise,0.05,1.0,0.661463,0.042389
cifar10,fixed_amplitude,8192,clean,0.0,0.0,0.703723,0.0
cifar10,fixed_amplitude,8192,hardware_noise,0.05,1.0,0.659596,0.044126
cifar10,random_unitary,42,clean,0.0,0.0,0.669883,0.0
cifar10,random_unitary,42,hardware_noise,0.05,1.0,0.616297,0.053586
cifar10,random_unitary,123,clean,0.0,0.0,0.665316,0.0
cifar10,random_unitary,123,hardware_noise,0.05,1.0,0.614509,0.050807
cifar10,random_unitary,256,clean,0.0,0.0,0.667996,0.0
cifar10,random_unitary,256,hardware_noise,0.05,1.0,0.615081,0.052915
cifar10,random_unitary,512,clean,0.0,0.0,0.666171,0.0
cifar10,random_unitary,512,hardware_noise,0.05,1.0,0.615466,0.050705
cifar10,random_unitary,1024,clean,0.0,0.0,0.664965,0.0
cifar10,random_unitary,1024,hardware_noise,0.05,1.0,0.612831,0.052134
cifar10,random_unitary,2024,clean,0.0,0.0,0.66786,0.0
cifar10,random_unitary,2024,hardware_noise,0.05,1.0,0.616266,0.051594
cifar10,random_unitary,4096,clean,0.0,0.0,0.668765,0.0
cifar10,random_unitary,4096,hardware_noise,0.05,1.0,0.615827,0.052938
cifar10,random_unitary,8192,clean,0.0,0.0,0.666352,0.0
cifar10,random_unitary,8192,hardware_noise,0.05,1.0,0.611404,0.054947
cifar10,mlp,42,clean,0.0,0.0,0.730546,0.0
cifar10,mlp,42,hardware_noise,0.05,1.0,0.690366,0.04018
cifar10,mlp,123,clean,0.0,0.0,0.729406,0.0
cifar10,mlp,123,hardware_noise,0.05,1.0,0.691069,0.038337
cifar10,mlp,256,clean,0.0,0.0,0.730554,0.0
cifar10,mlp,256,hardware_noise,0.05,1.0,0.688645,0.041909
cifar10,mlp,512,clean,0.0,0.0,0.732678,0.0
cifar10,mlp,512,hardware_noise,0.05,1.0,0.692202,0.040476
cifar10,mlp,1024,clean,0.0,0.0,0.729213,0.0
cifar10,mlp,1024,hardware_noise,0.05,1.0,0.689231,0.039983
cifar10,mlp,2024,clean,0.0,0.0,0.730679,0.0
cifar10,mlp,2024,hardware_noise,0.05,1.0,0.689284,0.041395
cifar10,mlp,4096,clean,0.0,0.0,0.731642,0.0
cifar10,mlp,4096,hardware_noise,0.05,1.0,0.690471,0.041172
cifar10,mlp,8192,clean,0.0,0.0,0.731627,0.0
cifar10,mlp,8192,hardware_noise,0.05,1.0,0.691854,0.039773
cifar10,cnn,42,clean,0.0,0.0,0.745172,0.0
cifar10,cnn,42,hardware_noise,0.05,1.0,0.709338,0.035834
cifar10,cnn,123,clean,0.0,0.0,0.746678,0.0
cifar10,cnn,123,hardware_noise,0.05,1.0,0.707389,0.039288
cifar10,cnn,256,clean,0.0,0.0,0.745367,0.0
cifar10,cnn,256,hardware_noise,0.05,1.0,0.707289,0.038078
cifar10,cnn,512,clean,0.0,0.0,0.746987,0.0
cifar10,cnn,512,hardware_noise,0.05,1.0,0.712915,0.034072
cifar10,cnn,1024,clean,0.0,0.0,0.744249,0.0
cifar10,cnn,1024,hardware_noise,0.05,1.0,0.703866,0.040383
cifar10,cnn,2024,clean,0.0,0.0,0.744409,0.0
cifar10,cnn,2024,hardware_noise,0.05,1.0,0.705593,0.038816
cifar10,cnn,4096,clean,0.0,0.0,0.743032,0.0
cifar10,cnn,4096,hardware_noise,0.05,1.0,0.704663,0.03837
cifar10,cnn,8192,clean,0.0,0.0,0.745102,0.0
cifar10,cnn,8192,hardware_noise,0.05,1.0,0.706088,0.039014
qam16,proposed,42,clean,0.0,0.0,0.951623,0.0
qam16,proposed,42,hardware_noise,0.05,1.0,0.914452,0.037171
qam16,proposed,123,clean,0.0,0.0,0.953846,0.0
qam16,proposed,123,hardware_noise,0.05,1.0,0.919737,0.03411
qam16,proposed,256,clean,0.0,0.0,0.956078,0.0
qam16,proposed,256,hardware_noise,0.05,1.0,0.926056,0.030023
